loc,cases,deaths,date,outbreak
CAVITE,64,0,10/01/2016,0
CAVITE,214,1,17/01/2016,0
CAVITE,161,2,24/01/2016,0
CAVITE,147,1,31/01/2016,0
CAVITE,160,0,07/02/2016,0
CAVITE,150,0,14/02/2016,0
CAVITE,117,0,21/02/2016,0
CAVITE,103,0,28/02/2016,0
CAVITE,84,1,06/03/2016,0
CAVITE,89,0,13/03/2016,0
CAVITE,92,1,20/03/2016,0
CAVITE,80,0,27/03/2016,0
CAVITE,36,0,03/04/2016,0
CAVITE,52,0,10/04/2016,0
CAVITE,52,0,17/04/2016,0
CAVITE,33,1,24/04/2016,0
CAVITE,39,0,01/05/2016,0
CAVITE,47,0,08/05/2016,0
CAVITE,41,0,15/05/2016,0
CAVITE,31,0,22/05/2016,0
CAVITE,26,0,29/05/2016,0
CAVITE,22,0,05/06/2016,0
CAVITE,27,0,12/06/2016,0
CAVITE,34,1,19/06/2016,0
CAVITE,45,2,26/06/2016,0
CAVITE,58,0,03/07/2016,0
CAVITE,53,0,10/07/2016,1
CAVITE,67,0,17/07/2016,1
CAVITE,110,0,24/07/2016,1
CAVITE,117,0,31/07/2016,1
CAVITE,146,1,07/08/2016,1
CAVITE,169,0,14/08/2016,1
CAVITE,195,0,21/08/2016,0
CAVITE,143,0,28/08/2016,0
CAVITE,166,0,04/09/2016,0
CAVITE,234,2,11/09/2016,0
CAVITE,151,1,18/09/2016,0
CAVITE,175,2,25/09/2016,0
CAVITE,169,0,02/10/2016,0
CAVITE,131,0,09/10/2016,0
CAVITE,198,1,16/10/2016,0
CAVITE,116,1,23/10/2016,0
CAVITE,134,0,30/10/2016,0
CAVITE,138,0,06/11/2016,0
CAVITE,135,1,13/11/2016,0
CAVITE,126,0,20/11/2016,0
CAVITE,141,2,27/11/2016,0
CAVITE,123,1,04/12/2016,0
CAVITE,140,1,11/12/2016,0
CAVITE,134,0,18/12/2016,0
CAVITE,111,0,25/12/2016,0
CAVITE,72,0,01/01/2017,0
CAVITE,177,0,08/01/2017,0
CAVITE,128,2,15/01/2017,0
CAVITE,130,1,22/01/2017,0
CAVITE,98,0,29/01/2017,0
CAVITE,97,0,05/02/2017,0
CAVITE,75,0,12/02/2017,0
CAVITE,97,0,19/02/2017,0
CAVITE,72,3,26/02/2017,0
CAVITE,91,0,05/03/2017,0
CAVITE,59,0,12/03/2017,0
CAVITE,63,1,19/03/2017,0
CAVITE,49,0,26/03/2017,0
CAVITE,39,0,02/04/2017,0
CAVITE,46,0,09/04/2017,0
CAVITE,33,0,16/04/2017,0
CAVITE,26,0,23/04/2017,0
CAVITE,25,0,30/04/2017,0
CAVITE,28,0,07/05/2017,0
CAVITE,25,0,14/05/2017,0
CAVITE,30,0,21/05/2017,0
CAVITE,22,0,28/05/2017,0
CAVITE,19,0,04/06/2017,0
CAVITE,20,0,11/06/2017,0
CAVITE,20,0,18/06/2017,1
CAVITE,53,0,25/06/2017,1
CAVITE,60,2,02/07/2017,1
CAVITE,78,0,09/07/2017,1
CAVITE,111,0,16/07/2017,1
CAVITE,133,0,23/07/2017,1
CAVITE,186,0,30/07/2017,1
CAVITE,164,0,06/08/2017,1
CAVITE,172,0,13/08/2017,1
