loc,cases,deaths,date,outbreak
CAVITE,64,0,2016-01-01,0
CAVITE,214,1,2016-01-01,0
CAVITE,161,2,2016-01-01,0
CAVITE,147,1,2016-01-01,0
CAVITE,160,0,2016-02-01,0
CAVITE,150,0,2016-02-01,0
CAVITE,117,0,2016-02-01,0
CAVITE,103,0,2016-02-01,0
CAVITE,84,1,2016-03-01,0
CAVITE,89,0,2016-03-01,0
CAVITE,92,1,2016-03-01,0
CAVITE,80,0,2016-03-01,0
CAVITE,36,0,2016-04-01,0
CAVITE,52,0,2016-04-01,0
CAVITE,52,0,2016-04-01,0
CAVITE,33,1,2016-04-01,0
CAVITE,39,0,2016-05-01,0
CAVITE,47,0,2016-05-01,0
CAVITE,41,0,2016-05-01,0
CAVITE,31,0,2016-05-01,0
CAVITE,26,0,2016-05-01,0
CAVITE,22,0,2016-06-01,0
CAVITE,27,0,2016-06-01,0
CAVITE,34,1,2016-06-01,0
CAVITE,45,2,2016-06-01,0
CAVITE,58,0,2016-07-01,0
CAVITE,53,0,2016-07-01,1
CAVITE,67,0,2016-07-01,1
CAVITE,110,0,2016-07-01,1
CAVITE,117,0,2016-07-01,1
CAVITE,146,1,2016-08-01,1
CAVITE,169,0,2016-08-01,1
CAVITE,195,0,2016-08-01,0
CAVITE,143,0,2016-08-01,0
CAVITE,166,0,2016-09-01,0
CAVITE,234,2,2016-09-01,0
CAVITE,151,1,2016-09-01,0
CAVITE,175,2,2016-09-01,0
CAVITE,169,0,2016-10-01,0
CAVITE,131,0,2016-10-01,0
CAVITE,198,1,2016-10-01,0
CAVITE,116,1,2016-10-01,0
CAVITE,134,0,2016-10-01,0
CAVITE,138,0,2016-11-01,0
CAVITE,135,1,2016-11-01,0
CAVITE,126,0,2016-11-01,0
CAVITE,141,2,2016-11-01,0
CAVITE,123,1,2016-12-01,0
CAVITE,140,1,2016-12-01,0
CAVITE,134,0,2016-12-01,0
CAVITE,111,0,2016-12-01,0
CAVITE,72,0,2017-01-01,0
CAVITE,177,0,2017-01-01,0
CAVITE,128,2,2017-01-01,0
CAVITE,130,1,2017-01-01,0
CAVITE,98,0,2017-01-01,0
CAVITE,97,0,2017-02-01,0
CAVITE,75,0,2017-02-01,0
CAVITE,97,0,2017-02-01,0
CAVITE,72,3,2017-02-01,0
CAVITE,91,0,2017-03-01,0
CAVITE,59,0,2017-03-01,0
CAVITE,63,1,2017-03-01,0
CAVITE,49,0,2017-03-01,0
CAVITE,39,0,2017-04-01,0
CAVITE,46,0,2017-04-01,0
CAVITE,33,0,2017-04-01,0
