loc,cases,deaths,date,Region
ALBAY,15.0,0.0,2016-01-10,REGION V-BICOL REGION
ALBAY,13.0,0.0,2016-01-17,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-01-24,REGION V-BICOL REGION
ALBAY,14.0,0.0,2016-01-31,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-02-07,REGION V-BICOL REGION
ALBAY,17.0,0.0,2016-02-14,REGION V-BICOL REGION
ALBAY,3.0,0.0,2016-02-21,REGION V-BICOL REGION
ALBAY,11.0,0.0,2016-02-28,REGION V-BICOL REGION
ALBAY,8.0,0.0,2016-03-06,REGION V-BICOL REGION
ALBAY,6.0,0.0,2016-03-13,REGION V-BICOL REGION
ALBAY,5.0,1.0,2016-03-20,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-03-27,REGION V-BICOL REGION
ALBAY,2.0,0.0,2016-04-03,REGION V-BICOL REGION
ALBAY,2.0,0.0,2016-04-10,REGION V-BICOL REGION
ALBAY,6.0,0.0,2016-04-17,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-04-24,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-05-01,REGION V-BICOL REGION
ALBAY,3.0,0.0,2016-05-08,REGION V-BICOL REGION
ALBAY,2.0,0.0,2016-05-15,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-05-22,REGION V-BICOL REGION
ALBAY,4.0,0.0,2016-05-29,REGION V-BICOL REGION
ALBAY,3.0,0.0,2016-06-05,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-06-12,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-06-19,REGION V-BICOL REGION
ALBAY,6.0,0.0,2016-06-26,REGION V-BICOL REGION
ALBAY,7.0,0.0,2016-07-03,REGION V-BICOL REGION
ALBAY,4.0,0.0,2016-07-10,REGION V-BICOL REGION
ALBAY,7.0,0.0,2016-07-17,REGION V-BICOL REGION
ALBAY,12.0,0.0,2016-07-24,REGION V-BICOL REGION
ALBAY,5.0,0.0,2016-07-31,REGION V-BICOL REGION
ALBAY,12.0,0.0,2016-08-07,REGION V-BICOL REGION
ALBAY,16.0,0.0,2016-08-14,REGION V-BICOL REGION
ALBAY,15.0,0.0,2016-08-21,REGION V-BICOL REGION
ALBAY,15.0,0.0,2016-08-28,REGION V-BICOL REGION
ALBAY,19.0,1.0,2016-09-04,REGION V-BICOL REGION
ALBAY,20.0,0.0,2016-09-11,REGION V-BICOL REGION
ALBAY,17.0,0.0,2016-09-18,REGION V-BICOL REGION
ALBAY,13.0,0.0,2016-09-25,REGION V-BICOL REGION
ALBAY,16.0,0.0,2016-10-02,REGION V-BICOL REGION
ALBAY,14.0,0.0,2016-10-09,REGION V-BICOL REGION
ALBAY,7.0,0.0,2016-10-16,REGION V-BICOL REGION
ALBAY,19.0,0.0,2016-10-23,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-10-30,REGION V-BICOL REGION
ALBAY,6.0,0.0,2016-11-06,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-11-13,REGION V-BICOL REGION
ALBAY,15.0,0.0,2016-11-20,REGION V-BICOL REGION
ALBAY,18.0,0.0,2016-11-27,REGION V-BICOL REGION
ALBAY,19.0,0.0,2016-12-04,REGION V-BICOL REGION
ALBAY,2.0,0.0,2016-12-11,REGION V-BICOL REGION
ALBAY,9.0,0.0,2016-12-18,REGION V-BICOL REGION
ALBAY,14.0,0.0,2016-12-25,REGION V-BICOL REGION
ALBAY,10.0,0.0,2017-01-01,REGION V-BICOL REGION
ANGELES CITY,21.0,0.0,2016-01-10,REGION III-CENTRAL LUZON
ANGELES CITY,14.0,0.0,2016-01-17,REGION III-CENTRAL LUZON
ANGELES CITY,24.0,0.0,2016-01-24,REGION III-CENTRAL LUZON
ANGELES CITY,22.0,0.0,2016-01-31,REGION III-CENTRAL LUZON
ANGELES CITY,18.0,0.0,2016-02-07,REGION III-CENTRAL LUZON
ANGELES CITY,24.0,0.0,2016-02-14,REGION III-CENTRAL LUZON
ANGELES CITY,12.0,0.0,2016-02-21,REGION III-CENTRAL LUZON
ANGELES CITY,21.0,0.0,2016-02-28,REGION III-CENTRAL LUZON
ANGELES CITY,12.0,0.0,2016-03-06,REGION III-CENTRAL LUZON
ANGELES CITY,6.0,0.0,2016-03-13,REGION III-CENTRAL LUZON
ANGELES CITY,4.0,0.0,2016-03-20,REGION III-CENTRAL LUZON
ANGELES CITY,10.0,0.0,2016-03-27,REGION III-CENTRAL LUZON
ANGELES CITY,11.0,0.0,2016-04-03,REGION III-CENTRAL LUZON
ANGELES CITY,9.0,0.0,2016-04-10,REGION III-CENTRAL LUZON
ANGELES CITY,6.0,0.0,2016-04-17,REGION III-CENTRAL LUZON
ANGELES CITY,1.0,0.0,2016-04-24,REGION III-CENTRAL LUZON
ANGELES CITY,3.0,0.0,2016-05-01,REGION III-CENTRAL LUZON
ANGELES CITY,1.0,0.0,2016-05-08,REGION III-CENTRAL LUZON
ANGELES CITY,4.0,0.0,2016-05-15,REGION III-CENTRAL LUZON
ANGELES CITY,7.0,0.0,2016-05-22,REGION III-CENTRAL LUZON
ANGELES CITY,1.0,0.0,2016-05-29,REGION III-CENTRAL LUZON
ANGELES CITY,0.0,0.0,2016-06-05,REGION III-CENTRAL LUZON
ANGELES CITY,0.0,0.0,2016-06-12,REGION III-CENTRAL LUZON
ANGELES CITY,0.0,0.0,2016-06-19,REGION III-CENTRAL LUZON
ANGELES CITY,1.0,0.0,2016-06-26,REGION III-CENTRAL LUZON
ANGELES CITY,2.0,0.0,2016-07-03,REGION III-CENTRAL LUZON
ANGELES CITY,9.0,0.0,2016-07-10,REGION III-CENTRAL LUZON
ANGELES CITY,5.0,0.0,2016-07-17,REGION III-CENTRAL LUZON
ANGELES CITY,10.0,0.0,2016-07-24,REGION III-CENTRAL LUZON
ANGELES CITY,6.0,0.0,2016-07-31,REGION III-CENTRAL LUZON
ANGELES CITY,11.0,0.0,2016-08-07,REGION III-CENTRAL LUZON
ANGELES CITY,19.0,0.0,2016-08-14,REGION III-CENTRAL LUZON
ANGELES CITY,38.0,0.0,2016-08-21,REGION III-CENTRAL LUZON
ANGELES CITY,23.0,0.0,2016-08-28,REGION III-CENTRAL LUZON
ANGELES CITY,63.0,1.0,2016-09-04,REGION III-CENTRAL LUZON
ANGELES CITY,53.0,0.0,2016-09-11,REGION III-CENTRAL LUZON
ANGELES CITY,42.0,0.0,2016-09-18,REGION III-CENTRAL LUZON
ANGELES CITY,59.0,1.0,2016-09-25,REGION III-CENTRAL LUZON
ANGELES CITY,46.0,0.0,2016-10-02,REGION III-CENTRAL LUZON
ANGELES CITY,41.0,1.0,2016-10-09,REGION III-CENTRAL LUZON
ANGELES CITY,24.0,0.0,2016-10-16,REGION III-CENTRAL LUZON
ANGELES CITY,41.0,0.0,2016-10-23,REGION III-CENTRAL LUZON
ANGELES CITY,32.0,0.0,2016-10-30,REGION III-CENTRAL LUZON
ANGELES CITY,49.0,0.0,2016-11-06,REGION III-CENTRAL LUZON
ANGELES CITY,37.0,0.0,2016-11-13,REGION III-CENTRAL LUZON
ANGELES CITY,43.0,0.0,2016-11-20,REGION III-CENTRAL LUZON
ANGELES CITY,23.0,2.0,2016-11-27,REGION III-CENTRAL LUZON
ANGELES CITY,16.0,0.0,2016-12-04,REGION III-CENTRAL LUZON
ANGELES CITY,53.0,0.0,2016-12-11,REGION III-CENTRAL LUZON
ANGELES CITY,52.0,0.0,2016-12-18,REGION III-CENTRAL LUZON
ANGELES CITY,28.0,1.0,2016-12-25,REGION III-CENTRAL LUZON
ANGELES CITY,41.0,0.0,2017-01-01,REGION III-CENTRAL LUZON
AURORA,37.0,0.0,2016-01-10,REGION III-CENTRAL LUZON
AURORA,15.0,0.0,2016-01-17,REGION III-CENTRAL LUZON
AURORA,14.0,0.0,2016-01-24,REGION III-CENTRAL LUZON
AURORA,21.0,0.0,2016-01-31,REGION III-CENTRAL LUZON
AURORA,18.0,0.0,2016-02-07,REGION III-CENTRAL LUZON
AURORA,8.0,0.0,2016-02-14,REGION III-CENTRAL LUZON
AURORA,10.0,0.0,2016-02-21,REGION III-CENTRAL LUZON
AURORA,5.0,0.0,2016-02-28,REGION III-CENTRAL LUZON
AURORA,6.0,0.0,2016-03-06,REGION III-CENTRAL LUZON
AURORA,10.0,0.0,2016-03-13,REGION III-CENTRAL LUZON
AURORA,5.0,0.0,2016-03-20,REGION III-CENTRAL LUZON
AURORA,3.0,0.0,2016-03-27,REGION III-CENTRAL LUZON
AURORA,2.0,0.0,2016-04-03,REGION III-CENTRAL LUZON
AURORA,8.0,0.0,2016-04-10,REGION III-CENTRAL LUZON
AURORA,5.0,0.0,2016-04-17,REGION III-CENTRAL LUZON
AURORA,4.0,0.0,2016-04-24,REGION III-CENTRAL LUZON
AURORA,4.0,0.0,2016-05-01,REGION III-CENTRAL LUZON
AURORA,1.0,0.0,2016-05-08,REGION III-CENTRAL LUZON
AURORA,0.0,0.0,2016-05-15,REGION III-CENTRAL LUZON
AURORA,1.0,0.0,2016-05-22,REGION III-CENTRAL LUZON
AURORA,3.0,0.0,2016-05-29,REGION III-CENTRAL LUZON
AURORA,0.0,0.0,2016-06-05,REGION III-CENTRAL LUZON
AURORA,2.0,0.0,2016-06-12,REGION III-CENTRAL LUZON
AURORA,9.0,0.0,2016-06-19,REGION III-CENTRAL LUZON
AURORA,2.0,0.0,2016-06-26,REGION III-CENTRAL LUZON
AURORA,5.0,0.0,2016-07-03,REGION III-CENTRAL LUZON
AURORA,21.0,0.0,2016-07-10,REGION III-CENTRAL LUZON
AURORA,14.0,0.0,2016-07-17,REGION III-CENTRAL LUZON
AURORA,22.0,0.0,2016-07-24,REGION III-CENTRAL LUZON
AURORA,9.0,0.0,2016-07-31,REGION III-CENTRAL LUZON
AURORA,11.0,0.0,2016-08-07,REGION III-CENTRAL LUZON
AURORA,12.0,0.0,2016-08-14,REGION III-CENTRAL LUZON
AURORA,24.0,1.0,2016-08-21,REGION III-CENTRAL LUZON
AURORA,17.0,0.0,2016-08-28,REGION III-CENTRAL LUZON
AURORA,14.0,0.0,2016-09-04,REGION III-CENTRAL LUZON
AURORA,15.0,0.0,2016-09-11,REGION III-CENTRAL LUZON
AURORA,15.0,0.0,2016-09-18,REGION III-CENTRAL LUZON
AURORA,12.0,0.0,2016-09-25,REGION III-CENTRAL LUZON
AURORA,7.0,0.0,2016-10-02,REGION III-CENTRAL LUZON
AURORA,9.0,0.0,2016-10-09,REGION III-CENTRAL LUZON
AURORA,18.0,0.0,2016-10-16,REGION III-CENTRAL LUZON
AURORA,7.0,0.0,2016-10-23,REGION III-CENTRAL LUZON
AURORA,12.0,0.0,2016-10-30,REGION III-CENTRAL LUZON
AURORA,6.0,0.0,2016-11-06,REGION III-CENTRAL LUZON
AURORA,6.0,0.0,2016-11-13,REGION III-CENTRAL LUZON
