YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.9,120.4
2014,2,25.4,94.2
2014,3,26.4,123.1
2014,4,28.1,25.8
2014,5,29.5,50.8
2014,6,29.1,95.3
2014,7,28.5,296.7
2014,8,28.1,166.3
2014,9,27.6,437.4
2014,10,27.4,389.7
2014,11,26.9,686.9
2014,12,25.7,889.6
2015,1,25.1,238.8
2015,2,25.3,140.5
2015,3,26.3,81.4
2015,4,27.6,63.9
2015,5,29.1,29
2015,6,28.9,143.2
2015,7,28.4,90.3
2015,8,28.4,159
2015,9,28.4,245.9
2015,10,28.1,261.5
2015,11,27.5,383.1
2015,12,26.8,539
2016,1,26.2,236.4
2016,2,25.7,335.6
2016,3,26.7,315.8
2016,4,28.5,19.2
2016,5,29.2,54.7
2016,6,29,266
2016,7,28.6,104.2
2016,8,29,30.7
2016,9,28.5,215.8
2016,10,27.8,448.5
2016,11,26.9,698
2016,12,26.6,854.7
2017,1,25.7,390.8
2017,2,25.5,166
2017,3,-999,-999
2017,4,27.7,215.3
2017,5,29,125.3
2017,6,28.9,219.2
2017,7,28.1,253.5
2017,8,28.8,112
2017,9,28.4,912.3
2017,10,27.4,597.8
2017,11,27.5,667.2
2017,12,26.3,1076.2
2018,1,25.8,445.6
2018,2,26.1,234.3
2018,3,26.6,161.1
2018,4,27.8,123.7
2018,5,28.8,138.6
2018,6,28.4,190.7
2018,7,28.3,155.4
2018,8,28.8,156
2018,9,28.1,105.4
2018,10,27.9,183.3
2018,11,27.3,399
2018,12,26.5,883
