YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.1,62.5
2014,2,24.6,22.5
2014,3,26.3,7.5
2014,4,28.6,2.5
2014,5,30,32.5
2014,6,29.3,197
2014,7,28.4,358.5
2014,8,28.3,138
2014,9,28.7,238.5
2014,10,28.2,112.5
2014,11,27.3,39
2014,12,24.6,206
2015,1,24.2,77.5
2015,2,24.4,63.6
2015,3,27.4,27.5
2015,4,-999,37.8
2015,5,28.7,95
2015,6,30.3,50.3
2015,7,28.6,166.6
2015,8,28.8,446.3
2015,9,28.7,30.3
2015,10,27.4,411.7
2015,11,26.9,79.9
2015,12,25.2,307.7
2016,1,24.8,52.7
2016,2,23.7,162.1
2016,3,-999,41.1
2016,4,-999,0
2016,5,29.6,115.3
2016,6,29.9,112.1
2016,7,29.6,302.4
2016,8,29,91.9
2016,9,28.6,212.5
2016,10,28.1,278
2016,11,26.3,324
2016,12,25.3,372.6
2017,1,24.1,117.5
2017,2,23.3,159.4
2017,3,25.7,24.2
2017,4,27.6,43.1
2017,5,28.8,182.6
2017,6,29.8,121.2
2017,7,29.4,42
2017,8,28.9,335.4
2017,9,29,156.3
2017,10,27.3,516.7
2017,11,26.7,446.2
2017,12,24.3,125.6
2018,1,24.2,117.1
2018,2,24.2,165.9
2018,3,25.5,68.3
2018,4,-999,25
2018,5,-999,3.8
2018,6,-999,43.9
2018,7,-999,167.5
2018,8,-999,160.8
2018,9,-999,265.1
2018,10,-999,305.5
2018,11,-999,71.9
2018,12,-999,246.8
