YEAR,MONTH,TMEAN,RAINFALL
2014,1,15.8,0
2014,2,17.4,0
2014,3,19,5.9
2014,4,20.1,126.3
2014,5,20.8,213
2014,6,20,401.7
2014,7,19.5,444.2
2014,8,19.3,531.9
2014,9,19.7,985.4
2014,10,19.7,107.1
2014,11,19.6,39.2
2014,12,19,9.5
2015,1,17,11.3
2015,2,17.6,7.3
2015,3,19,57.1
2015,4,20,121.8
2015,5,20.6,245.5
2015,6,20.8,282.5
2015,7,18.5,1493.9
2015,8,19.3,1031.6
2015,9,20,263.6
2015,10,19.3,1212.2
2015,11,19.8,8
2015,12,19.2,167.1
2016,1,18.6,5.2
2016,2,18.2,4.2
2016,3,19.4,9.4
2016,4,21.3,62
2016,5,21,213.3
2016,6,20.6,176.3
2016,7,20,426.8
2016,8,18.7,955.6
2016,9,19.5,412.1
2016,10,19.5,583.2
2016,11,-999,23.2
2016,12,19.3,82
2017,1,-999,-999
2017,2,17.6,71.5
2017,3,19.2,4.7
2017,4,20.5,60.9
2017,5,21,570.1
2017,6,21.1,208.5
2017,7,19.9,751
2017,8,19.9,449.6
2017,9,20.1,206.9
2017,10,19.1,230
2017,11,20,120
2017,12,19.2,28.4
2018,1,19.1,15.2
2018,2,19.2,1.2
2018,3,19.1,5.8
2018,4,20.1,204
2018,5,20.9,283.2
2018,6,19.5,552.6
2018,7,19.2,1002.5
2018,8,18.4,1822.6
2018,9,19.5,1219.6
2018,10,19.5,268.6
2018,11,19.4,17.8
2018,12,18.9,22.8
