YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.1,33.9
2014,2,24.4,132.2
2014,3,25,342.7
2014,4,26.8,108
2014,5,28.7,103.3
2014,6,29.9,42.2
2014,7,28.6,140.7
2014,8,28.4,251.3
2014,9,28,294.1
2014,10,27.3,366.3
2014,11,26.6,167.6
2014,12,24.8,204.7
2015,1,24,96.5
2015,2,24,120.8
2015,3,25.4,154.1
2015,4,26.9,160
2015,5,28.8,76.6
2015,6,28.9,140
2015,7,28,115.6
2015,8,29.4,51.8
2015,9,28.9,320.7
2015,10,27.8,285.1
2015,11,27.7,132.7
2015,12,26,1028.8
2016,1,26.2,148.4
2016,2,25.5,157.4
2016,3,26.6,187.4
2016,4,28.1,169.6
2016,5,28.1,293.7
2016,6,28.6,325.1
2016,7,28.5,140.4
2016,8,28.5,133.6
2016,9,28.8,288.4
2016,10,27.6,470.6
2016,11,26.7,619.1
2016,12,25.6,452.4
2017,1,24.3,622
2017,2,24.2,429.6
2017,3,25.7,237.4
2017,4,27.1,151.2
2017,5,28.3,411.2
2017,6,28.3,382.2
2017,7,27.2,624.4
2017,8,28.5,244.9
2017,9,28.2,337.6
2017,10,27.2,283
2017,11,26.2,864.3
2017,12,25.1,179.01
2018,1,24.8,303
2018,2,26.1,127.5
2018,3,26.1,152.4
2018,4,26.9,192.7
2018,5,27.9,288.2
2018,6,28.2,186.3
2018,7,27.8,316.2
2018,8,28.1,95.8
2018,9,27.8,387.6
2018,10,27.5,327.7
2018,11,26.9,102.7
2018,12,25.4,446.8
