YEAR,MONTH,TMEAN,RAINFALL
2014,1,20.1,55
2014,2,20.9,23.1
2014,3,22.2,20.1
2014,4,25,35.1
2014,5,28,70.9
2014,6,28,321.3
2014,7,27.7,174
2014,8,27.3,162
2014,9,27.2,154
2014,10,25.2,68.1
2014,11,23.9,122.1
2014,12,20.7,137.3
2015,1,19.8,103.8
2015,2,21.3,28.7
2015,3,23.3,26.9
2015,4,25.1,137.4
2015,5,26.7,181.7
2015,6,28.2,22
2015,7,27.1,92.7
2015,8,27.4,238.5
2015,9,26.9,100.4
2015,10,25.3,363.9
2015,11,24.8,130.2
2015,12,23,93
2016,1,22.1,164.8
2016,2,20.7,108.4
2016,3,22.2,32.8
2016,4,26.9,12.5
2016,5,27.8,203.3
2016,6,28.1,128.7
2016,7,28.1,215.7
2016,8,27.6,502.7
2016,9,27,630.8
2016,10,26.6,361.4
2016,11,24.5,309.6
2016,12,22.8,178.4
2017,1,21.6,117.3
2017,2,20.9,70.9
2017,3,22.6,10.1
2017,4,24.5,85.1
2017,5,26.4,422
2017,6,28.4,45.7
2017,7,27.6,294
2017,8,27.5,379.6
2017,9,27.9,144.7
2017,10,26,355.5
2017,11,25,705
2017,12,21,346.4
2018,1,21.2,138.1
2018,2,21.1,172.8
2018,3,22.5,31.4
2018,4,24.4,15.2
2018,5,27.8,9.8
2018,6,27.2,431
2018,7,27.1,302.1
2018,8,26.8,566.9
2018,9,26.7,416.1
2018,10,25,125.2
2018,11,24.7,90.7
2018,12,23.4,262.5
