YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.9,721.4
2014,2,26.4,70.7
2014,3,27.1,257
2014,4,28.1,57.4
2014,5,29.8,100.8
2014,6,29.4,141.7
2014,7,28.7,149.2
2014,8,28.5,131.4
2014,9,27.9,233.8
2014,10,28.4,82.7
2014,11,28,167.5
2014,12,27.4,416.9
2015,1,26.6,331.5
2015,2,26.7,63.3
2015,3,27.2,40.6
2015,4,28.6,25.9
2015,5,29.7,69.8
2015,6,28.6,172.1
2015,7,29.1,130.2
2015,8,29.1,59.3
2015,9,28.7,141
2015,10,29,124.6
2015,11,28,294.7
2015,12,27.7,242.2
2016,1,27.7,21
2016,2,27.4,80.5
2016,3,28.7,3.6
2016,4,30,30.6
2016,5,30,136
2016,6,29.4,320
2016,7,28.9,242.3
2016,8,29.5,54.3
2016,9,28.7,232.4
2016,10,28.6,209.6
2016,11,27.3,303.9
2016,12,27.8,152.4
2017,1,26.8,560.9
2017,2,26.6,384.2
2017,3,27.3,324.2
2017,4,28.4,168.7
2017,5,29.4,230.7
2017,6,29.1,211.4
2017,7,28.7,199.6
2017,8,29,65.6
2017,9,28.6,165.2
2017,10,28.6,233.5
2017,11,27.9,235.6
2017,12,27.7,257.2
2018,1,26.8,386.1
2018,2,27.4,255.6
2018,3,27.5,48.2
2018,4,28.4,180.2
2018,5,29.5,97.9
2018,6,28.7,104.2
2018,7,29.2,71.4
2018,8,29,77.5
2018,9,28.6,256.6
2018,10,28.6,133.4
2018,11,27.5,243.6
2018,12,27.3,228.1
