YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.5,0
2014,2,26.7,1.4
2014,3,28.1,7.4
2014,4,30.4,15.3
2014,5,31.6,36.5
2014,6,29.9,206.1
2014,7,28.6,320.3
2014,8,28.4,244.4
2014,9,28.1,305.2
2014,10,28.3,178
2014,11,28.4,25.4
2014,12,27.5,39.2
2015,1,26.1,19.3
2015,2,26.2,0
2015,3,27.4,1.5
2015,4,29.6,20.6
2015,5,30.7,65.1
2015,6,30.5,177.6
2015,7,27.9,324
2015,8,28.5,364.1
2015,9,29,215.9
2015,10,28.2,310.6
2015,11,28.5,2.5
2015,12,27.3,523.2
2016,1,27.4,1.9
2016,2,27,3.2
2016,3,28.6,1.7
2016,4,30.6,38.8
2016,5,30.5,248.1
2016,6,29.5,179.2
2016,7,28.9,147.5
2016,8,28,333.8
2016,9,28.2,200.4
2016,10,28.3,306.1
2016,11,27.9,78.6
2016,12,28,12.4
2017,1,26.8,24.3
2017,2,26.6,26.4
2017,3,28,8.9
2017,4,29.5,42.4
2017,5,30.5,241.4
2017,6,29.9,105.3
2017,7,28.5,219.8
2017,8,28.7,568.5
2017,9,28.6,236.9
2017,10,28.3,86.2
2017,11,28.1,195.5
2017,12,27.6,30.5
2018,1,27.1,13
2018,2,27.7,2.4
2018,3,28.2,13.6
2018,4,30.2,1
2018,5,31.2,95.8
2018,6,28.6,311.8
2018,7,28,343.6
2018,8,27.9,452.9
2018,9,28.4,335.8
2018,10,28.8,264.2
2018,11,28.1,2
2018,12,27.3,44.4
