YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.8,51.8
2014,2,26,22.8
2014,3,27.2,32
2014,4,28.9,19.4
2014,5,29.5,194.9
2014,6,28.5,154.4
2014,7,27.7,219.1
2014,8,28.1,192.7
2014,9,27.6,223.2
2014,10,27.3,299.6
2014,11,27.1,95.6
2014,12,26.1,386.6
2015,1,25.7,131.1
2015,2,26.4,48.2
2015,3,26.9,29.9
2015,4,28.1,78.5
2015,5,29.5,24.4
2015,6,28.8,201
2015,7,28.2,173.2
2015,8,28,252.3
2015,9,28.3,133
2015,10,28.1,70.5
2015,11,27.7,125.9
2015,12,26.7,400.8
2016,1,26.6,66
2016,2,26.2,83.2
2016,3,27.7,39.3
2016,4,28.9,88.2
2016,5,29.2,89.1
2016,6,28.2,244.5
2016,7,27.9,83.6
2016,8,27.6,121.8
2016,9,27.9,144.2
2016,10,27.4,300
2016,11,-999,406.6
2016,12,26.4,432.6
2017,1,26.1,134.6
2017,2,26,40.6
2017,3,26.9,20.7
2017,4,28,143.8
2017,5,28.8,276.3
2017,6,28.5,274.7
2017,7,27.2,378.2
2017,8,27.9,214.6
2017,9,28,250.9
2017,10,-999,-999
2017,11,27.1,568.9
2017,12,26.4,286.4
2018,1,26.1,160.6
2018,2,26.8,115.2
2018,3,27.2,30
2018,4,28.3,68.4
2018,5,29.2,321.4
2018,6,28.2,192.3
2018,7,27.5,321.3
2018,8,27.8,79.2
2018,9,28.1,118.1
2018,10,28,193.1
2018,11,27.6,143
2018,12,26.7,305.8
