YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.2,214.8
2014,2,24.3,64.2
2014,3,25.4,23.3
2014,4,27.9,24
2014,5,-999,-999
2014,6,29.4,145.4
2014,7,28.8,180.3
2014,8,28,148.6
2014,9,28.7,197.4
2014,10,28.6,55.6
2014,11,27.3,129.4
2014,12,22.9,275.6
2015,1,21.7,72
2015,2,22.9,105.7
2015,3,25.1,41.3
2015,4,26.3,40
2015,5,28.1,81.6
2015,6,29.8,70.2
2015,7,28.9,145.6
2015,8,28.5,752.6
2015,9,28.1,52
2015,10,27.7,333.8
2015,11,27.9,97.6
2015,12,25.5,279.2
2016,1,25.2,196.6
2016,2,23.8,141.8
2016,3,25.2,87.6
2016,4,28.1,11.6
2016,5,29,99
2016,6,29.2,126.8
2016,7,29,223.8
2016,8,28.3,348.2
2016,9,28,332.8
2016,10,27.7,275.6
2016,11,26.5,483.1
2016,12,25.4,568.6
2017,1,24.2,372
2017,2,23.6,231.8
2017,3,25.1,49.2
2017,4,26.5,106.6
2017,5,28,228.4
2017,6,28.8,44
2017,7,28.9,94.2
2017,8,-999,648
2017,9,-999,343.6
2017,10,-999,490.4
2017,11,-999,673.8
2017,12,-999,299.6
2018,1,-999,220.4
2018,2,-999,260.8
2018,3,-999,33
2018,4,-999,35.6
2018,5,-999,5.6
2018,6,-999,36.4
2018,7,-999,403.2
2018,8,-999,398
2018,9,-999,246.6
2018,10,-999,115.8
2018,11,-999,129
2018,12,-999,264
