YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.4,108.4
2014,2,24.6,49.2
2014,3,25.4,413.1
2014,4,27.5,67.7
2014,5,29.7,39.6
2014,6,30.2,70.8
2014,7,29.3,189.7
2014,8,28.5,283.4
2014,9,28.3,255.4
2014,10,27.1,539
2014,11,26.3,481.5
2014,12,25,606.5
2015,1,23.6,173.4
2015,2,23.2,260.6
2015,3,24.6,325.6
2015,4,26.6,84.8
2015,5,28.5,97.6
2015,6,29.4,137.5
2015,7,28.3,115.9
2015,8,28.9,69.5
2015,9,28.6,167.2
2015,10,27.2,548.5
2015,11,26.4,243.6
2015,12,25.2,1013.8
2016,1,25.1,253.8
2016,2,24.5,194.4
2016,3,25.7,116.5
2016,4,27.7,87.9
2016,5,28.9,201
2016,6,29.3,190.5
2016,7,28.9,156.4
2016,8,28.6,119.3
2016,9,28.8,118.2
2016,10,27.7,669
2016,11,26.7,814.6
2016,12,25.7,856.2
2017,1,24.6,886.9
2017,2,23.9,380.2
2017,3,25.5,224.7
2017,4,27.1,59.6
2017,5,29,294.1
2017,6,29.2,238.8
2017,7,28.2,278.3
2017,8,29,276
2017,9,28.6,145.2
2017,10,27.7,615.9
2017,11,26.6,1012
2017,12,25.3,580.5
2018,1,24.8,295.3
2018,2,25.5,193.7
2018,3,26,91.3
2018,4,27.4,140.3
2018,5,29.1,52.3
2018,6,29.2,171.6
2018,7,28.6,433.9
2018,8,28.9,67
2018,9,28.6,258.1
2018,10,27.7,169.3
2018,11,26.6,224.7
2018,12,25.8,511
