YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.1,734.5
2014,2,26.3,200.3
2014,3,27,414.7
2014,4,27.5,387.8
2014,5,28.7,31.5
2014,6,28.9,372.7
2014,7,27.6,428.1
2014,8,28,286.9
2014,9,27.3,286.3
2014,10,26.8,479.5
2014,11,26.9,448.3
2014,12,26.2,1052.2
2015,1,25.7,603.5
2015,2,25.8,96.3
2015,3,26.4,160.3
2015,4,26.9,162.4
2015,5,27.6,22.5
2015,6,27.9,151.2
2015,7,28.2,106.1
2015,8,28.5,161.3
2015,9,28.1,161.1
2015,10,27.7,216.5
2015,11,27.4,285.9
2015,12,27,548.4
2016,1,25.9,328.4
2016,2,25.8,342.9
2016,3,26.1,61.4
2016,4,27.9,38.7
2016,5,29,66.8
2016,6,31.1,236.5
2016,7,27.6,474.2
2016,8,29,62.9
2016,9,28.5,182.7
2016,10,27.6,535.6
2016,11,-999,-999
2016,12,26.6,764.9
2017,1,25.9,754
2017,2,26.1,146.5
2017,3,-999,-999
2017,4,27.2,84.4
2017,5,28.5,213.8
2017,6,28.2,233.7
2017,7,27.5,206.8
2017,8,28.4,99.7
2017,9,27.7,273.9
2017,10,27.5,286
2017,11,27.6,414.2
2017,12,26.9,1211.6
2018,1,26.2,1134
2018,2,26.2,624.8
2018,3,26.9,569.7
2018,4,27.6,171.9
2018,5,28.4,53.9
2018,6,28.8,121.7
2018,7,28.7,111.8
2018,8,28.9,151.6
2018,9,28.2,154.3
2018,10,27.8,152.7
2018,11,27.5,424.3
2018,12,26.9,1019.1
