YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.6,451.9
2014,2,27,44.1
2014,3,27.9,226.4
2014,4,28.3,319
2014,5,30.3,83.7
2014,6,30.2,333.3
2014,7,29,538.6
2014,8,29.4,305.5
2014,9,28.7,518.7
2014,10,28.7,314.8
2014,11,28.2,273.3
2014,12,27.8,1139.7
2015,1,27.1,396.2
2015,2,27.2,36.7
2015,3,27.7,63.8
2015,4,28.8,82.4
2015,5,30,23.9
2015,6,29.3,297.9
2015,7,29.5,151.2
2015,8,29.9,159.3
2015,9,29.4,185.5
2015,10,29.4,94.5
2015,11,28.9,193
2015,12,28.1,149.7
2016,1,27.6,85.3
2016,2,27.6,121.3
2016,3,28.9,27.09
2016,4,30.3,47.5
2016,5,30.7,82.2
2016,6,29.9,182.2
2016,7,29.1,473.1
2016,8,30.4,84.3
2016,9,29.8,146.7
2016,10,28.9,367.7
2016,11,27.8,342.6
2016,12,28.2,298.5
2017,1,27.3,375.5
2017,2,27.1,109.7
2017,3,27.7,188.3
2017,4,28.7,137.4
2017,5,30.2,200.5
2017,6,29.8,175
2017,7,28.6,290.5
2017,8,29.6,94.9
2017,9,29.2,384.1
2017,10,29,237.8
2017,11,29,197.2
2017,12,27.9,1106.9
2018,1,26.8,792.3
2018,2,27.3,422.6
2018,3,28.1,105.2
2018,4,29,202.8
2018,5,29.5,337.5
2018,6,29.8,153.6
2018,7,30,184.7
2018,8,30.2,106.5
2018,9,29.2,293.6
2018,10,28.7,354.8
2018,11,28.3,290
2018,12,27.7,551.8
