YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.8,0
2014,2,25.7,24
2014,3,27.3,1.8
2014,4,29.2,57.8
2014,5,30.1,179.5
2014,6,27.9,302.7
2014,7,27.2,415.4
2014,8,27.3,308.8
2014,9,27.4,271.9
2014,10,27.5,101.8
2014,11,27.5,20.2
2014,12,26.4,34.9
2015,1,24.9,6.6
2015,2,25.5,2.6
2015,3,27.1,0.8
2015,4,29,52.7
2015,5,29.3,152.8
2015,6,29.2,227.3
2015,7,27.1,557.1
2015,8,27.7,388
2015,9,28.4,213
2015,10,28,317.5
2015,11,28.2,1.7
2015,12,26.9,253.3
2016,1,-999,7
2016,2,26.7,9
2016,3,28.6,0.5
2016,4,30.4,19
2016,5,30.1,126.4
2016,6,-999,-999
2016,7,28.7,230.1
2016,8,27.6,514.3
2016,9,28,288.5
2016,10,28,382.8
2016,11,27.7,53.5
2016,12,27.7,31.6
2017,1,26.3,22.8
2017,2,26.4,10.3
2017,3,28.3,5.2
2017,4,29.8,15
2017,5,30,162
2017,6,29.6,161.3
2017,7,28.1,277
2017,8,28.5,530.7
2017,9,28.3,231.3
2017,10,28.3,200.7
2017,11,27.8,97.8
2017,12,27.3,16.7
2018,1,27,8.9
2018,2,27.5,5.2
2018,3,28,39.3
2018,4,29.5,99.9
2018,5,30.7,154.3
2018,6,28.1,520.6
2018,7,27,634.3
2018,8,27.2,676
2018,9,27.9,468
2018,10,28.7,105.7
2018,11,27.9,1.9
2018,12,27.2,37.8
