YEAR,MONTH,TMEAN,RAINFALL
2014,1,-999,4.2
2014,2,-999,50.4
2014,3,-999,1
2014,4,-999,69.8
2014,5,-999,23.9
2014,6,-999,389.5
2014,7,27.7,130.3
2014,8,27,1013.9
2014,9,27,916.4
2014,10,27.8,284.1
2014,11,29.2,26.8
2014,12,28.7,39
2015,1,27.5,4
2015,2,27.3,0.4
2015,3,27.6,8.2
2015,4,28.9,0.2
2015,5,29.7,20.3
2015,6,28.9,263.1
2015,7,28,480.8
2015,8,27.8,530.2
2015,9,28,460.2
2015,10,28.4,191.2
2015,11,29.7,1.6
2015,12,28.9,33
2016,1,28.9,1.4
2016,2,28.3,171.2
2016,3,29,0
2016,4,29.9,4.6
2016,5,30.3,94.8
2016,6,28.9,171
2016,7,28.1,335.4
2016,8,27.7,904.4
2016,9,27.9,514
2016,10,27.9,396.2
2016,11,28.3,253.2
2016,12,28.6,77
2017,1,28.2,46.6
2017,2,28.2,13
2017,3,28.8,7.6
2017,4,29.4,82
2017,5,-999,-999
2017,6,28.7,359
2017,7,-999,-999
2017,8,28,713.4
2017,9,28.1,236
2017,10,27.6,461
2017,11,28.5,113.6
2017,12,28,163
2018,1,28.1,1.1
2018,2,28.4,2.2
2018,3,-999,-999
2018,4,29.5,26.3
2018,5,30,47.8
2018,6,28.1,359.4
2018,7,26.8,1312.6
2018,8,28,220.5
2018,9,27.4,553.8
2018,10,28.9,71
2018,11,29.3,51
2018,12,29,29
