YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.8,93.4
2014,2,27.8,49.8
2014,3,28.5,99.4
2014,4,28.6,47.9
2014,5,28.7,168.4
2014,6,28,199
2014,7,27.4,280.1
2014,8,27.7,249
2014,9,27.2,218.6
2014,10,27.6,250.3
2014,11,28.2,122
2014,12,28.1,77.4
2015,1,27.5,88.9
2015,2,28.4,42.7
2015,3,28.8,11.6
2015,4,28.9,63.6
2015,5,28.5,73.9
2015,6,27.6,164.9
2015,7,27.5,155.4
2015,8,27.6,290.8
2015,9,27.4,283.4
2015,10,27.9,110.1
2015,11,28.4,146.7
2015,12,28.5,35.8
2016,1,29,2.8
2016,2,29.1,31.5
2016,3,29.8,15.6
2016,4,29.8,92.9
2016,5,28.9,205.5
2016,6,28,265.4
2016,7,28.3,233.7
2016,8,28,288.3
2016,9,28,257.3
2016,10,28.1,331.5
2016,11,28.2,184.9
2016,12,28.2,68.5
2017,1,27.7,118.5
2017,2,28.2,105.1
2017,3,28.4,221.2
2017,4,29.1,97.2
2017,5,29,202.3
2017,6,28.3,225
2017,7,27.9,271
2017,8,28.1,123.2
2017,9,28.1,192.6
2017,10,27.8,386.3
2017,11,28.7,55.2
2017,12,28.2,202
2018,1,28.1,77.7
2018,2,28.7,79.3
2018,3,29.5,53.2
2018,4,29.4,124.7
2018,5,29.5,227.3
2018,6,28.4,196.8
2018,7,27.8,285.1
2018,8,27.7,270.6
2018,9,27.6,215.2
2018,10,28.7,205.1
2018,11,29,110.4
2018,12,28.6,81.8
