YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.8,0
2014,2,27.1,1.3
2014,3,28.5,0
2014,4,29.8,46.3
2014,5,31,27.5
2014,6,28.4,614.1
2014,7,27.8,959.7
2014,8,27.9,614.6
2014,9,28,642.3
2014,10,28.3,185.6
2014,11,28.3,26
2014,12,27.3,52
2015,1,26,1.5
2015,2,26.5,0
2015,3,27.9,34.3
2015,4,29.9,4
2015,5,29.6,54.5
2015,6,29.8,181.5
2015,7,28,672.5
2015,8,28.1,502.3
2015,9,28.5,261.1
2015,10,28.2,255
2015,11,28.6,0
2015,12,27.3,230.1
2016,1,27.3,5.8
2016,2,27.7,0.7
2016,3,28.9,0
2016,4,30.8,0.5
2016,5,30.4,107.5
2016,6,29.2,157.1
2016,7,28.3,1148
2016,8,27.5,1219.5
2016,9,27.6,858.7
2016,10,28.1,521.2
2016,11,28.2,2
2016,12,27.9,49.2
2017,1,26.9,7.4
2017,2,27.2,4
2017,3,28.4,0.2
2017,4,29.7,0
2017,5,30,47.2
2017,6,29.1,127.4
2017,7,27.9,731.5
2017,8,28,789.1
2017,9,28.4,307.1
2017,10,28.3,243.2
2017,11,28.4,72.7
2017,12,27.8,15.6
2018,1,27.7,0.6
2018,2,28.1,0
2018,3,28.6,9.9
2018,4,30.6,26.5
2018,5,31.3,105.8
2018,6,27.9,1053.9
2018,7,26.7,1848.6
2018,8,27.2,1297.9
2018,9,27.9,445.9
2018,10,28.6,69.5
2018,11,28.3,0
2018,12,27.7,7.7
