YEAR,MONTH,TMEAN,RAINFALL
2014,1,27.5,49.4
2014,2,28.2,0.6
2014,3,28.6,4
2014,4,29.1,35.2
2014,5,29.3,98.2
2014,6,28.4,488.4
2014,7,27.9,646.6
2014,8,28.6,333.2
2014,9,28.3,395.4
2014,10,28.7,255.2
2014,11,28.8,74.6
2014,12,28.3,121.4
2015,1,27.7,3
2015,2,28.4,0
2015,3,-999,-999
2015,4,29.6,0
2015,5,29.2,158.6
2015,6,28.8,286.4
2015,7,28.9,212.2
2015,8,28.8,258.2
2015,9,28.6,247.6
2015,10,28.8,157.6
2015,11,-999,-999
2015,12,-999,-999
2016,1,28.9,0
2016,2,28.7,0
2016,3,29.4,0
2016,4,29.9,0
2016,5,29.8,121.6
2016,6,29.1,303.9
2016,7,28.7,381.2
2016,8,28.4,504.6
2016,9,28.9,363
2016,10,28.6,358
2016,11,29,131.2
2016,12,29.1,137
2017,1,29.2,107.6
2017,2,29.4,0
2017,3,-999,-999
2017,4,-999,-999
2017,5,29.9,72
2017,6,-999,-999
2017,7,-999,-999
2017,8,28.9,410.4
2017,9,28.4,312.8
2017,10,-999,-999
2017,11,29.1,87.8
2017,12,28.3,132
2018,1,28,75.6
2018,2,28.3,10.2
2018,3,-999,-999
2018,4,29.8,10.8
2018,5,30.2,156.7
2018,6,29.1,409.2
2018,7,27.8,542.2
2018,8,28.6,238.8
2018,9,28.3,257.7
2018,10,29.4,75.6
2018,11,28.9,315.2
2018,12,28.3,23.4
