YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.9,149.8
2014,2,25.4,77.5
2014,3,26.5,74.6
2014,4,28.1,53
2014,5,29.8,21.4
2014,6,29.8,115.1
2014,7,28.5,330.6
2014,8,28.5,278.9
2014,9,27.2,560
2014,10,27.3,541.8
2014,11,27.2,393.7
2014,12,26.4,729.5
2015,1,25.3,393.9
2015,2,25,182.5
2015,3,26.4,69.1
2015,4,27.3,124
2015,5,27.9,82.3
2015,6,28.4,150.8
2015,7,27.7,163.6
2015,8,28,104
2015,9,27.5,172
2015,10,27.7,313.8
2015,11,27.9,289.5
2015,12,-999,-999
2016,1,26.1,281.5
2016,2,25.2,310.3
2016,3,26.4,381.3
2016,4,28.5,34.7
2016,5,29,41.2
2016,6,-999,-999
2016,7,27.8,186.8
2016,8,-999,-999
2016,9,28.2,244.5
2016,10,27,711.9
2016,11,26.9,521.5
2016,12,26.1,775
2017,1,25.8,469.2
2017,2,25.9,229
2017,3,26.9,298.1
2017,4,27.6,150.3
2017,5,28.5,179.8
2017,6,29.1,178
2017,7,28,252.3
2017,8,27.6,296.2
2017,9,27.6,405.4
2017,10,27.3,627.2
2017,11,27.9,417.5
2017,12,26.7,821.4
2018,1,25.9,683.4
2018,2,25.8,342
2018,3,27,151.9
2018,4,28.1,270.4
2018,5,28.9,117.3
2018,6,28.7,204
2018,7,28.6,273.9
2018,8,28.3,252.8
2018,9,28.3,217.8
2018,10,27.6,196.5
2018,11,27.8,302.6
2018,12,27.5,1028.7
