YEAR,MONTH,TMEAN,RAINFALL
2014,1,25,0
2014,2,26.2,0
2014,3,27.6,1.6
2014,4,29.7,185
2014,5,30.2,227.7
2014,6,28.6,441.8
2014,7,28.3,604.3
2014,8,28,451.7
2014,9,28,870
2014,10,28.6,143.1
2014,11,28.2,1.6
2014,12,27.1,23.4
2015,1,25.2,3
2015,2,26.5,0
2015,3,27.8,19.2
2015,4,29.5,59.6
2015,5,-999,-999
2015,6,30.3,246.1
2015,7,27.3,1087.9
2015,8,28.6,352.6
2015,9,29,435.3
2015,10,27.8,361.2
2015,11,28.5,0
2015,12,27.4,136.4
2016,1,27.2,3
2016,2,26.9,11.4
2016,3,28.6,2.4
2016,4,30.7,77.2
2016,5,30.3,188.3
2016,6,29.7,169.9
2016,7,28.9,424.1
2016,8,27.8,1196.7
2016,9,28.4,352.3
2016,10,28.1,351.6
2016,11,28,9.9
2016,12,27.6,33.6
2017,1,26.6,4.9
2017,2,26.8,3.2
2017,3,28.4,2.7
2017,4,29.9,12.2
2017,5,30.3,183.6
2017,6,30,367.7
2017,7,28.7,578.9
2017,8,28.8,513.4
2017,9,28.8,230.1
2017,10,28.5,182.2
2017,11,28.2,140.4
2017,12,27.2,4.8
2018,1,26.7,1.1
2018,2,26.9,6.4
2018,3,28.3,0.2
2018,4,29.7,114.9
2018,5,30.6,91.2
2018,6,28.2,643.1
2018,7,28,1167.8
2018,8,27.5,938.1
2018,9,28.3,491.4
2018,10,28.6,143
2018,11,28,0
2018,12,27.3,8
