YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.9,289.5
2014,2,26.1,57.2
2014,3,26.9,172.6
2014,4,27.9,27.6
2014,5,29.2,9
2014,6,28.9,79.8
2014,7,28.3,129.4
2014,8,25.2,107.8
2014,9,27.9,106.6
2014,10,28.2,162.3
2014,11,28.1,255.9
2014,12,27.4,362.2
2015,1,28.1,121.1
2015,2,26.5,18
2015,3,26.6,8.2
2015,4,27.9,21
2015,5,29,6.4
2015,6,28.3,117.1
2015,7,28.2,111.2
2015,8,28.2,72.4
2015,9,27.9,282.6
2015,10,27.8,131.2
2015,11,27.8,91.9
2015,12,27.5,152.5
2016,1,26.9,48.7
2016,2,26.9,45.32
2016,3,27.6,0.2
2016,4,28.9,9
2016,5,29.5,136.6
2016,6,28.6,140.2
2016,7,28.4,145.4
2016,8,28.9,28.2
2016,9,28.4,148.5
2016,10,28,216.9
2016,11,27.3,185.8
2016,12,27.6,192.33
2017,1,26.7,230.96
2017,2,26.4,44.9
2017,3,26.7,105.9
2017,4,27.5,191.2
2017,5,28.6,96.6
2017,6,28.3,113.8
2017,7,27.8,166
2017,8,28.2,186.9
2017,9,28.1,261
2017,10,27.6,263.56
2017,11,27.7,74.1
2017,12,27.1,135.7
2018,1,26.7,217.9
2018,2,26.8,243.7
2018,3,27.1,90.7
2018,4,27.9,40.4
2018,5,28.2,37.7
2018,6,28.3,107.2
2018,7,28.4,76.2
2018,8,28.5,71.6
2018,9,27.6,180.6
2018,10,27.8,107.5
2018,11,27,171.6
2018,12,27,158.2
