YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.1,379.3
2014,2,26.8,118.6
2014,3,27.6,44.4
2014,4,28.1,92
2014,5,28.4,211.8
2014,6,28.5,151.8
2014,7,28.1,326.5
2014,8,28.6,158.5
2014,9,28.6,115.2
2014,10,28.2,280.8
2014,11,27.9,276.2
2014,12,27.8,163.1
2015,1,26.7,83.4
2015,2,27.2,42.6
2015,3,27.9,7.3
2015,4,25.3,35.4
2015,5,29.3,25.1
2015,6,28.5,195.6
2015,7,28.4,60.2
2015,8,28.6,77
2015,9,28.1,302.6
2015,10,28.6,143.7
2015,11,27.9,255.6
2015,12,27.7,91.3
2016,1,27.6,25.9
2016,2,27.6,20.9
2016,3,28.3,0
2016,4,28.8,86.1
2016,5,28.4,142.3
2016,6,28.1,293
2016,7,28.2,105.1
2016,8,28.3,198.4
2016,9,28.1,171
2016,10,27.8,620.3
2016,11,27.4,228.8
2016,12,27.5,302.9
2017,1,26.6,460.7
2017,2,26.9,66.9
2017,3,27.3,185.3
2017,4,28,52.9
2017,5,28.6,682
2017,6,28.5,177.4
2017,7,28.2,196.7
2017,8,28.4,244.6
2017,9,28.5,119.6
2017,10,28.1,305
2017,11,28.3,252.9
2017,12,27.9,276.6
2018,1,27.6,490.2
2018,2,27.6,421.1
2018,3,28.4,20.4
2018,4,29.2,275.6
2018,5,28.8,427
2018,6,29,137.4
2018,7,28.6,172.2
2018,8,29,110.5
2018,9,28.2,237.3
2018,10,28.6,122.8
2018,11,28,505.8
2018,12,27.9,234.9
