YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.3,186.1
2014,2,26.9,68
2014,3,27.7,261.9
2014,4,28.5,41.9
2014,5,29.3,155.2
2014,6,29,130.1
2014,7,28.2,153.4
2014,8,28.6,71.8
2014,9,27.8,162.8
2014,10,27.9,239.7
2014,11,28.3,394.9
2014,12,27.9,170.1
2015,1,26.9,71.1
2015,2,27.2,41.5
2015,3,27.7,1.9
2015,4,28.7,12
2015,5,29.4,1.8
2015,6,28.6,100.4
2015,7,28.2,197.1
2015,8,28.3,117.5
2015,9,28.4,164
2015,10,28.5,70.8
2015,11,28.9,60.5
2015,12,28.2,68.2
2016,1,27.5,24.8
2016,2,28,18.6
2016,3,28.1,0
2016,4,29.4,0
2016,5,29.6,52.4
2016,6,30.7,187.54
2016,7,28.6,63.4
2016,8,29,60.4
2016,9,28.5,88.9
2016,10,28.4,131.2
2016,11,27.7,186.3
2016,12,27.9,74.9
2017,1,26.8,292.2
2017,2,26.7,38.4
2017,3,27,91
2017,4,28.1,77.2
2017,5,28.9,123.3
2017,6,28.6,111
2017,7,28.1,188.5
2017,8,28.5,201.7
2017,9,28.3,136.7
2017,10,27.5,374
2017,11,28.3,124.8
2017,12,27.6,189.6
2018,1,27.2,199
2018,2,27.3,205.6
2018,3,27.5,38.2
2018,4,28.4,87.3
2018,5,29.1,27.8
2018,6,29,60.4
2018,7,28.7,83.7
2018,8,28.9,88.9
2018,9,28.1,113.7
2018,10,28.6,86.8
2018,11,27.7,115.8
2018,12,28,46.6
