YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.6,496.6
2014,2,26.3,39.9
2014,3,26.7,84
2014,4,27.6,158.5
2014,5,28.3,37.2
2014,6,28.3,195.8
2014,7,27.6,246.3
2014,8,27.5,409.9
2014,9,26.7,232.7
2014,10,28.1,76.7
2014,11,27.6,94.2
2014,12,27.4,137.1
2015,1,26.6,189.7
2015,2,25.8,6.8
2015,3,26.4,3.4
2015,4,26.8,66.4
2015,5,27.7,40.4
2015,6,27.8,179.8
2015,7,28.2,111.9
2015,8,28.2,47.2
2015,9,27.6,192.3
2015,10,27.6,162.7
2015,11,27.9,37.9
2015,12,27.4,81.2
2016,1,26.8,4.5
2016,2,27.1,2.7
2016,3,27.7,0
2016,4,28.1,0
2016,5,29.1,114.3
2016,6,28.6,337.8
2016,7,28.4,112.9
2016,8,28.9,178.1
2016,9,28.4,235.9
2016,10,28.1,184.4
2016,11,27.4,109.4
2016,12,27.1,170.3
2017,1,26.5,309.4
2017,2,26.3,121.2
2017,3,26.8,137.9
2017,4,27.7,88.5
2017,5,28.6,153.2
2017,6,28.1,240.2
2017,7,28.1,183.7
2017,8,28.2,218.4
2017,9,27.8,359.5
2017,10,27.8,231
2017,11,27.5,83.7
2017,12,27.3,149.4
2018,1,26.7,74.3
2018,2,27,116.9
2018,3,27,53.2
2018,4,28.1,14.7
2018,5,28.7,104.9
2018,6,28.1,268.5
2018,7,28.4,122
2018,8,28.4,97.3
2018,9,28.1,258.9
2018,10,28.2,62.3
2018,11,27.6,46
2018,12,27.4,48.4
