YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.6,256.8
2014,2,27.2,51.7
2014,3,28.2,99.5
2014,4,28.9,46.3
2014,5,28.9,30.7
2014,6,28,130.3
2014,7,27.3,140.5
2014,8,27.5,62.8
2014,9,27.3,108.1
2014,10,28.1,53.6
2014,11,27.9,76.5
2014,12,28.2,45.6
2015,1,27.7,67.3
2015,2,28.5,0.5
2015,3,29.4,3.6
2015,4,29.8,28.3
2015,5,29.2,26.4
2015,6,27.7,188.8
2015,7,27.5,86.7
2015,8,27.2,96.8
2015,9,27.5,52.1
2015,10,28.1,26.4
2015,11,28.6,74.7
2015,12,29.2,15.8
2016,1,29.2,14.4
2016,2,29.2,4.1
2016,3,30.4,0
2016,4,31,1
2016,5,30.2,71.7
2016,6,28.2,95.5
2016,7,28.5,85.2
2016,8,28,38.9
2016,9,27.8,78.1
2016,10,27.8,116.4
2016,11,27.9,128.5
2016,12,27.2,60.3
2017,1,26.9,223.8
2017,2,27.2,74.8
2017,3,27.6,129.9
2017,4,28.6,51.9
2017,5,28.3,142.4
2017,6,27.3,167.5
2017,7,27,63.7
2017,8,27.8,33.5
2017,9,27.8,162.5
2017,10,27.6,124.7
2017,11,28.4,96.8
2017,12,27.7,135.8
2018,1,27.1,107.3
2018,2,27.6,118.5
2018,3,28.6,13.8
2018,4,28.7,139.5
2018,5,-999,45.1
2018,6,27.6,50
2018,7,26.9,127.3
2018,8,27.2,46.6
2018,9,26.9,90.6
2018,10,27.8,89.3
2018,11,28.1,46
2018,12,27.9,77.1
