YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.1,742.6
2014,2,26,108.5
2014,3,25.1,159.2
2014,4,26.7,448.5
2014,5,28.5,140.6
2014,6,28.5,178.6
2014,7,27.4,169.4
2014,8,27.8,222.4
2014,9,27.1,234.5
2014,10,27.5,405.4
2014,11,27.1,226.2
2014,12,26.2,487
2015,1,25.5,523.8
2015,2,26,63
2015,3,27.1,38.1
2015,4,28.4,41.7
2015,5,30.2,25.1
2015,6,28.5,461.4
2015,7,28.5,55.8
2015,8,29.3,79.4
2015,9,28.3,134.7
2015,10,28.5,107.8
2015,11,27.2,196.4
2015,12,26.4,276.9
2016,1,26.1,255
2016,2,26.2,171.4
2016,3,27.4,53.3
2016,4,28.6,41.2
2016,5,29.1,111.9
2016,6,28.2,163.4
2016,7,27.7,286.1
2016,8,28.8,41.6
2016,9,28.9,171.3
2016,10,28.1,257
2016,11,27,681.5
2016,12,27.5,213.7
2017,1,26.5,410.4
2017,2,26.1,169.9
2017,3,26.8,383.8
2017,4,28.1,239.3
2017,5,29.1,124.8
2017,6,29.5,171.7
2017,7,27.7,498.2
2017,8,28.7,112.5
2017,9,28.6,220.9
2017,10,28,192.5
2017,11,28,200
2017,12,27,1360.7
2018,1,26.8,732.7
2018,2,26.4,615.3
2018,3,27.3,242.2
2018,4,27.9,189.4
2018,5,29,219.2
2018,6,28.2,193.4
2018,7,28.2,155
2018,8,29.3,96.1
2018,9,28.3,198
2018,10,28.1,174.5
2018,11,26.8,484.2
2018,12,26.7,458.3
