YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.4,1372.1
2014,2,25.9,331.8
2014,3,26.5,534.1
2014,4,27.9,77.7
2014,5,28.4,272.6
2014,6,29,117.2
2014,7,28.7,166.8
2014,8,28.6,173.2
2014,9,28.3,189.7
2014,10,28.5,145.1
2014,11,27.3,242.5
2014,12,27.2,1039.3
2015,1,26.5,715.8
2015,2,26.2,391.8
2015,3,26.3,233.8
2015,4,27.2,156.3
2015,5,-999,-999
2015,6,27.9,297.8
2015,7,29,157.1
2015,8,-999,-999
2015,9,28.4,344.8
2015,10,28.6,155.6
2015,11,27,755
2015,12,26.9,375.9
2016,1,26.6,263.2
2016,2,26.3,533.6
2016,3,26.8,175.4
2016,4,27.7,264.7
2016,5,28.2,291.4
2016,6,28.6,280.5
2016,7,28.5,260.9
2016,8,29.5,118.5
2016,9,28.5,265.4
2016,10,28.1,529.1
2016,11,27.1,512.63
2016,12,27.4,621.9
2017,1,26.7,936.1
2017,2,25.9,747.9
2017,3,27,647.6
2017,4,27.9,243.5
2017,5,28.7,544.8
2017,6,28.7,364.2
2017,7,28.4,339.8
2017,8,28.8,135.4
2017,9,28.3,492.4
2017,10,28.4,182.8
2017,11,27.4,688.3
2017,12,27.3,278.3
2018,1,26.6,669.4
2018,2,27,511.2
2018,3,26.8,319.2
2018,4,27.7,373.7
2018,5,28.5,264.5
2018,6,28.9,136
2018,7,29.2,306.7
2018,8,29,141.8
2018,9,28.8,280.7
2018,10,27.9,122.2
2018,11,27,382.8
2018,12,27.3,469.1
