YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.2,0
2014,2,26.3,12
2014,3,27.6,0
2014,4,29.4,5.6
2014,5,30.7,45.2
2014,6,28.7,731.8
2014,7,27.9,1027.7
2014,8,27.7,632.8
2014,9,27.6,1046.4
2014,10,28.1,143.6
2014,11,27.9,48.8
2014,12,27.2,19.4
2015,1,25.5,3.6
2015,2,25.3,1
2015,3,26.8,9.2
2015,4,29.2,69.6
2015,5,29.4,56.4
2015,6,29.3,282.2
2015,7,27.4,1085.7
2015,8,27.8,692.5
2015,9,28.3,398.3
2015,10,27.4,468.2
2015,11,28.4,0
2015,12,27,134.9
2016,1,26.6,1.5
2016,2,26.5,0
2016,3,27.4,0
2016,4,29.7,0
2016,5,30.2,231.4
2016,6,28.7,263.6
2016,7,27.6,1371.1
2016,8,-999,0
2016,9,27.3,492.7
2016,10,27.4,570.4
2016,11,28,141.9
2016,12,27.7,39
2017,1,26.7,19.7
2017,2,26.9,10.2
2017,3,27.5,23.1
2017,4,28.9,22.2
2017,5,29.5,187.6
2017,6,28.9,256.8
2017,7,28.2,585
2017,8,28,879.9
2017,9,28.1,210.8
2017,10,28.2,232.8
2017,11,28.5,79.2
2017,12,28,5.8
2018,1,27.5,0
2018,2,27,0.9
2018,3,28,18.4
2018,4,28.9,51.5
2018,5,30,39.9
2018,6,27.8,1020
2018,7,27,1241.5
2018,8,27.4,1009.4
2018,9,27.5,500.1
2018,10,28,145.6
2018,11,28.1,0
2018,12,27.8,40
