YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.4,176.7
2014,2,24.8,74
2014,3,26.1,169.7
2014,4,27.7,62.1
2014,5,28.8,127.7
2014,6,29.6,37.7
2014,7,28.9,127.7
2014,8,28.4,336.8
2014,9,27.8,140.7
2014,10,27.2,755.9
2014,11,26.8,428.4
2014,12,25.7,517.9
2015,1,24.6,199.3
2015,2,24.9,168.7
2015,3,26,189.6
2015,4,24.7,43.9
2015,5,28.7,55.4
2015,6,28.8,111.1
2015,7,28.6,109.4
2015,8,28.6,113.5
2015,9,28.2,182.4
2015,10,27.9,337.8
2015,11,27.7,295.2
2015,12,26.7,1008.2
2016,1,26.4,161
2016,2,25.7,332.9
2016,3,26.4,266.3
2016,4,28.3,58.5
2016,5,29,192.3
2016,6,29,286.3
2016,7,28.8,92.2
2016,8,29.2,187.6
2016,9,28.8,239
2016,10,27.9,484.8
2016,11,26.8,447.4
2016,12,25.6,856.3
2017,1,25,473.5
2017,2,24.6,515.1
2017,3,25.8,179.8
2017,4,26.9,167.6
2017,5,28.3,241.8
2017,6,28.2,175.5
2017,7,27.3,366.8
2017,8,28.2,198
2017,9,27.6,376.6
2017,10,26.6,651.9
2017,11,26.5,683.7
2017,12,25.1,991.7
2018,1,25,460.7
2018,2,25.4,230.3
2018,3,25.7,250.1
2018,4,27.1,114.6
2018,5,28.2,147.1
2018,6,28.1,125
2018,7,27.9,103.3
2018,8,28.3,137.1
2018,9,27.2,197.2
2018,10,26.9,177
2018,11,26.4,143.7
2018,12,25.3,745.7
