YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.3,393.4
2014,2,24.6,182.4
2014,3,26.1,418.4
2014,4,26.8,162.8
2014,5,28.7,32.8
2014,6,28.8,312.4
2014,7,27.7,545.7
2014,8,28,154
2014,9,27.4,274.4
2014,10,27.1,363.5
2014,11,26.5,372.8
2014,12,26.1,1155.4
2015,1,25.1,457.8
2015,2,25,152.3
2015,3,25.5,180.6
2015,4,26.6,116.4
2015,5,27.5,26.5
2015,6,28,79.3
2015,7,27.9,153.3
2015,8,28,137
2015,9,28,215.7
2015,10,27.5,179.1
2015,11,26.9,548.7
2015,12,25.9,668.8
2016,1,25.5,320.9
2016,2,25.4,394
2016,3,26.1,130.6
2016,4,27.8,31.8
2016,5,30.7,73.5
2016,6,28.4,161.2
2016,7,27.7,195.3
2016,8,28.9,171.8
2016,9,28.3,268.1
2016,10,27.4,472.2
2016,11,26.4,717.4
2016,12,26.5,626.4
2017,1,25.5,813
2017,2,25.3,175.3
2017,3,-999,-999
2017,4,27,99.6
2017,5,28.7,85
2017,6,28.6,147.4
2017,7,27.7,287.8
2017,8,28.2,157.2
2017,9,28.1,298.6
2017,10,27.9,283
2017,11,27.3,528.4
2017,12,26.4,1316.8
2018,1,25.5,1159.2
2018,2,25.8,663.4
2018,3,26.2,462.8
2018,4,27.2,135.6
2018,5,28.1,81.8
2018,6,28.4,145.6
2018,7,28.6,191.8
2018,8,28.7,144.4
2018,9,27.8,404
2018,10,27.1,114.6
2018,11,26.7,616.2
2018,12,26.4,1163.4
