YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.3,0
2014,2,24.4,4.4
2014,3,26.4,0
2014,4,27.9,0
2014,5,29.4,0.3
2014,6,28.5,516.8
2014,7,28.3,266.8
2014,8,27.5,325.2
2014,9,27.8,646.2
2014,10,27.5,11.7
2014,11,27.3,4.2
2014,12,26.5,0
2015,1,24.1,0
2015,2,24.9,1.6
2015,3,26.1,0
2015,4,27.8,10
2015,5,28.5,84.5
2015,6,29.1,317.5
2015,7,27,601.9
2015,8,27.8,799.4
2015,9,28,105.2
2015,10,-999,148
2015,11,27.2,0
2015,12,26,24.4
2016,1,25.4,6
2016,2,25.2,4
2016,3,26.3,1.6
2016,4,28.3,0
2016,5,29.7,181.6
2016,6,28.9,158.6
2016,7,28.4,282.6
2016,8,27.4,1032.6
2016,9,27.7,360.6
2016,10,28,206.1
2016,11,27.4,75.7
2016,12,27.1,11.7
2017,1,25.9,0.8
2017,2,25.9,0.8
2017,3,26.8,0
2017,4,27.8,24.2
2017,5,28.5,232.6
2017,6,29.2,131.2
2017,7,28.4,447.1
2017,8,27.9,352.8
2017,9,28.2,306.9
2017,10,27.8,145
2017,11,27.9,18.9
2017,12,26.5,1.8
2018,1,26.1,3
2018,2,25.7,0
2018,3,26.4,0
2018,4,28.1,0
2018,5,29.7,32.4
2018,6,28.2,648.8
2018,7,27.7,433.6
2018,8,27.3,1037.2
2018,9,27.4,336.9
2018,10,27.5,14.8
2018,11,27.1,0
2018,12,26.9,0
