YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.1,114.3
2014,2,26,47.8
2014,3,26.9,322.3
2014,4,28.1,120.5
2014,5,30,32.6
2014,6,29.9,156.1
2014,7,28.4,443.1
2014,8,28.9,264.1
2014,9,27.9,342
2014,10,27.7,303.9
2014,11,27.8,324.4
2014,12,26.7,825.1
2015,1,26,403.5
2015,2,26.1,1357
2015,3,27,1501
2015,4,28.2,277.9
2015,5,29.1,89.2
2015,6,29.1,307.7
2015,7,28.5,203.6
2015,8,28.7,169.8
2015,9,28.8,238.3
2015,10,28.3,245.5
2015,11,28.1,436.5
2015,12,27.4,560.5
2016,1,27,123.5
2016,2,26.6,332.5
2016,3,27.8,140.7
2016,4,29.3,88.3
2016,5,30.1,79
2016,6,29.6,195.6
2016,7,29,211.8
2016,8,29.3,132.3
2016,9,29.3,197.6
2016,10,28.3,572.8
2016,11,27.8,449.7
2016,12,27.5,578.5
2017,1,26.7,578.9
2017,2,26.8,177.4
2017,3,27.6,230.5
2017,4,28.5,129.6
2017,5,29.8,188.5
2017,6,29.7,75.9
2017,7,28.4,297.1
2017,8,29.2,178.8
2017,9,28.9,219.8
2017,10,28.3,446.1
2017,11,28.3,472.9
2017,12,27.3,849.4
2018,1,26.7,739.5
2018,2,27.1,500.8
2018,3,27.7,93.2
2018,4,28.8,147.6
2018,5,29.5,191.3
2018,6,29.1,138.7
2018,7,28.5,209.1
2018,8,28.8,168.6
2018,9,28.5,438.8
2018,10,28.3,61.2
2018,11,28.2,317.8
2018,12,27.5,1027.1
