YEAR,MONTH,TMEAN,RAINFALL
2014,1,22.6,385.3
2014,2,23.6,84.4
2014,3,24.4,132.8
2014,4,25.1,69.5
2014,5,25.9,109.9
2014,6,25,281.3
2014,7,23.9,264.8
2014,8,24.4,555.3
2014,9,23.9,169.5
2014,10,24.2,195.4
2014,11,24.4,320.6
2014,12,24.3,259.3
2015,1,23.8,229.1
2015,2,23.5,73.6
2015,3,24.1,23
2015,4,25.3,67
2015,5,-999,-999
2015,6,24.5,268.1
2015,7,24.2,216.7
2015,8,24,324.8
2015,9,24.2,352
2015,10,24.9,75.9
2015,11,24.8,129.1
2015,12,24.5,158.9
2016,1,23.8,53.3
2016,2,24.3,14.6
2016,3,25.2,5.7
2016,4,26.3,32.6
2016,5,26.2,300.5
2016,6,25.5,352.9
2016,7,24.6,439.4
2016,8,24.2,281.7
2016,9,24.3,350.5
2016,10,24.5,234
2016,11,24.2,220
2016,12,24.5,207.1
2017,1,23.5,510.7
2017,2,23.7,157
2017,3,24.4,194.5
2017,4,25.2,223.2
2017,5,26.1,291.6
2017,6,25.6,439.1
2017,7,25.1,292
2017,8,25.4,347.9
2017,9,25.4,302.4
2017,10,25,347.4
2017,11,25.2,169.1
2017,12,24.9,232.2
2018,1,24.4,113.8
2018,2,25.3,47.4
2018,3,25.1,16.4
2018,4,26.1,46.7
2018,5,26.5,357.8
2018,6,25.4,275
2018,7,24.8,466
2018,8,24.6,188.9
2018,9,24.5,276
2018,10,25.6,140
2018,11,25.4,136
2018,12,25.2,56.8
