YEAR,MONTH,TMEAN,RAINFALL
2014,1,25.6,0
2014,2,26.6,3.5
2014,3,28.2,19.6
2014,4,30.1,8.8
2014,5,31,90.9
2014,6,29.3,155.9
2014,7,28.1,349.7
2014,8,28.2,321.2
2014,9,28.2,468.8
2014,10,28.2,349.1
2014,11,28.1,43.7
2014,12,27,140.3
2015,1,25.5,24.5
2015,2,26.4,2.4
2015,3,27.8,6.5
2015,4,29.8,4.5
2015,5,30.5,112.9
2015,6,30.2,156.5
2015,7,28.6,466.3
2015,8,29.1,316.5
2015,9,29.1,436.4
2015,10,28.9,149.6
2015,11,29.3,42.4
2015,12,27.8,292.3
2016,1,28,2.6
2016,2,27.2,63.9
2016,3,29.2,1.1
2016,4,31.1,0.9
2016,5,31,74.8
2016,6,30.1,242.9
2016,7,29.1,393.3
2016,8,28.4,700.5
2016,9,28.8,289.5
2016,10,29,161.4
2016,11,28.5,68.3
2016,12,28,98.9
2017,1,27,41.2
2017,2,26.8,35.8
2017,3,28.5,5.8
2017,4,30,88.2
2017,5,30.7,130.9
2017,6,30,178.5
2017,7,28.6,382.81
2017,8,29,440.2
2017,9,28.8,519.61
2017,10,28.4,258.4
2017,11,28.5,160.1
2017,12,27.4,85.7
2018,1,27.4,18.9
2018,2,27.9,1.5
2018,3,28.4,30.3
2018,4,29.9,8.1
2018,5,31,59.9
2018,6,28.4,616.5
2018,7,27.7,626.2
2018,8,28,453.9
2018,9,28.6,365
2018,10,29.1,181.8
2018,11,28.8,22.9
2018,12,27.5,122.4
