YEAR,MONTH,TMEAN,RAINFALL
2014,1,27.1,40.7
2014,2,26.7,75.6
2014,3,28,22.4
2014,4,29.1,14.7
2014,5,29.8,22.2
2014,6,28.7,123.6
2014,7,27.8,288.3
2014,8,28.2,113.9
2014,9,27.5,174.4
2014,10,28.1,209.8
2014,11,28.5,162.3
2014,12,28.1,125.2
2015,1,27.2,8.8
2015,2,27.1,0.4
2015,3,27.8,0
2015,4,29.2,21.5
2015,5,29.5,57.4
2015,6,29.3,85
2015,7,28,290
2015,8,28.2,142.5
2015,9,28.1,304.8
2015,10,28.7,48.5
2015,11,28.7,161.1
2015,12,28.6,31.6
2016,1,28.1,0.5
2016,2,28.1,2.9
2016,3,28.8,0
2016,4,30,0
2016,5,30.4,108.1
2016,6,29,192.7
2016,7,28.9,78.6
2016,8,28.8,183.5
2016,9,28.5,219.7
2016,10,28.3,217.7
2016,11,28.2,156.5
2016,12,28.4,121.8
2017,1,27.9,126
2017,2,27.8,40.5
2017,3,28.5,4.3
2017,4,29.5,31
2017,5,29.6,286.4
2017,6,29.1,36.1
2017,7,28.2,288.5
2017,8,28.7,141
2017,9,28.4,174.8
2017,10,28.1,383.7
2017,11,28.4,124.2
2017,12,27.9,439.8
2018,1,27.6,242.8
2018,2,27.7,28.4
2018,3,28.6,58.2
2018,4,29.2,32.5
2018,5,29.7,124.4
2018,6,28.6,60.8
2018,7,28.3,132
2018,8,28.3,119.4
2018,9,27.9,206.3
2018,10,28.7,67.7
2018,11,28.3,268.1
2018,12,28.8,134.1
