YEAR,MONTH,TMEAN,RAINFALL
2014,1,-999,-999
2014,2,-999,-999
2014,3,-999,-999
2014,4,-999,-999
2014,5,-999,-999
2014,6,-999,-999
2014,7,-999,-999
2014,8,-999,-999
2014,9,-999,-999
2014,10,-999,-999
2014,11,-999,-999
2014,12,-999,-999
2015,1,24.2,48.6
2015,2,24.8,48
2015,3,25.8,88.3
2015,4,27.4,35.8
2015,5,28.9,63.8
2015,6,28.7,122.8
2015,7,27.4,242.8
2015,8,27.5,244.1
2015,9,27.9,142
2015,10,27.5,257.2
2015,11,27.2,108.7
2015,12,26.1,340.1
2016,1,25.9,72
2016,2,25.4,85.4
2016,3,27,32.8
2016,4,28.7,17.6
2016,5,29.1,97.4
2016,6,28.4,304.5
2016,7,27.6,399.5
2016,8,27.6,144.8
2016,9,27.6,170
2016,10,27.1,195.1
2016,11,26.4,338.9
2016,12,26,402.6
2017,1,24.9,210.6
2017,2,25.1,85.3
2017,3,25.8,103.8
2017,4,27.2,58.7
2017,5,28.8,123
2017,6,28.3,303.4
2017,7,26.9,583.8
2017,8,27.9,135.1
2017,9,27.6,388.6
2017,10,26.9,343.8
2017,11,26.8,234
2017,12,25.6,452.6
2018,1,24.8,166.7
2018,2,25.5,106.4
2018,3,26.1,136.8
2018,4,27.5,95.7
2018,5,28.4,137
2018,6,27.4,228.9
2018,7,26.7,307.9
2018,8,26.9,127.1
2018,9,27.1,95.9
2018,10,27.4,120.5
2018,11,26.6,151
2018,12,25.5,305.8
