YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.3,101.1
2014,2,26.9,43.4
2014,3,27.8,63.1
2014,4,28.6,69.5
2014,5,30,40.8
2014,6,29.2,299.3
2014,7,28.3,186.2
2014,8,28.6,241.3
2014,9,28.1,219.5
2014,10,28.4,234.5
2014,11,28.8,86
2014,12,27.4,344
2015,1,26.6,64
2015,2,27.1,24
2015,3,27.6,26.5
2015,4,28.8,27
2015,5,29.8,6
2015,6,29.2,196
2015,7,28.6,310.5
2015,8,28.5,207.5
2015,9,28.7,327
2015,10,-999,-999
2015,11,28.9,61
2015,12,28.2,75.5
2016,1,27.9,76.5
2016,2,27.4,67
2016,3,28.8,8.5
2016,4,29.8,18
2016,5,30.2,77.5
2016,6,29,221
2016,7,28.7,205.5
2016,8,29.1,76.5
2016,9,28.6,325
2016,10,-999,-999
2016,11,28.3,325.5
2016,12,28.1,244.5
2017,1,27,289.5
2017,2,27.2,55
2017,3,28,3
2017,4,28.7,88.5
2017,5,29.3,236
2017,6,29.3,344.5
2017,7,28.3,296
2017,8,29,125.5
2017,9,28.9,329
2017,10,28.5,333
2017,11,29,191.5
2017,12,28,476.5
2018,1,27.4,209
2018,2,27.6,153.5
2018,3,28.4,54
2018,4,29.3,91.5
2018,5,29.8,205.5
2018,6,29,279.5
2018,7,28.8,152
2018,8,28.9,421.5
2018,9,28.5,157
2018,10,29.2,87
2018,11,28.8,151
2018,12,28,154.5
