YEAR,MONTH,TMEAN,RAINFALL
2014,1,27,10.3
2014,2,27.1,3
2014,3,28.8,2.4
2014,4,28.6,98.4
2014,5,29.9,41.7
2014,6,28.3,583.6
2014,7,27.2,800.4
2014,8,27.5,114
2014,9,26.9,778.6
2014,10,27.7,268
2014,11,28.5,16.6
2014,12,27.7,54
2015,1,26.3,4
2015,2,27.3,0.5
2015,3,28.3,18.6
2015,4,29.5,0.7
2015,5,29.5,25.7
2015,6,28.9,131.5
2015,7,27.9,371
2015,8,27.5,568.2
2015,9,29.5,350.6
2015,10,29.8,184.8
2015,11,29.7,3.7
2015,12,28.2,66.8
2016,1,28.1,6
2016,2,28.3,0.8
2016,3,28.6,0.4
2016,4,30.3,22.7
2016,5,30.1,137.8
2016,6,28.2,136.8
2016,7,27.6,339.4
2016,8,27.6,333.7
2016,9,27.1,574.3
2016,10,27.2,456
2016,11,27.4,210.9
2016,12,28.1,44.8
2017,1,27.9,21.9
2017,2,28,1.5
2017,3,28.5,39.6
2017,4,28.6,59.9
2017,5,29.4,70.9
2017,6,27.6,268.6
2017,7,27.3,453.6
2017,8,27.1,309.5
2017,9,27.1,287.8
2017,10,26.9,353.8
2017,11,27.8,93.8
2017,12,27.4,88.7
2018,1,26.8,5
2018,2,27.1,6.9
2018,3,27.6,8.8
2018,4,29,0.2
2018,5,29,54.2
2018,6,27,432.1
2018,7,25.5,979.5
2018,8,26.6,472.3
2018,9,26,516.9
2018,10,27,124.6
2018,11,28.3,10.3
2018,12,28.1,51.5
