YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.6,0
2014,2,25.8,0.8
2014,3,27.4,21.6
2014,4,29.1,22.6
2014,5,30.3,107.2
2014,6,29.3,242.9
2014,7,28.1,478
2014,8,27.8,412.1
2014,9,27.9,727.2
2014,10,27.8,404
2014,11,27.5,94.6
2014,12,26.5,150.5
2015,1,25,29
2015,2,25.8,2.7
2015,3,27,6.6
2015,4,29.4,64.8
2015,5,30,74.6
2015,6,29.7,329.5
2015,7,28.1,628.6
2015,8,28.5,459.3
2015,9,28.6,471.9
2015,10,28.2,223.6
2015,11,28.4,16.2
2015,12,27,295.8
2016,1,27.2,4.4
2016,2,26.8,8.3
2016,3,28.5,2.8
2016,4,30.3,43.4
2016,5,30.5,180.1
2016,6,29.6,175.1
2016,7,28.8,259.1
2016,8,28.3,780.2
2016,9,28.5,495.3
2016,10,28.4,305.8
2016,11,27.8,100.1
2016,12,27.6,125.6
2017,1,26.3,43.9
2017,2,26.1,73.8
2017,3,27.6,7
2017,4,29.4,128.2
2017,5,30.1,297.5
2017,6,29.7,343.9
2017,7,28.6,560.4
2017,8,28.8,452.4
2017,9,28.8,409.6
2017,10,28,283
2017,11,28,157.5
2017,12,26.9,98.5
2018,1,26.6,85.4
2018,2,27.1,2
2018,3,27.6,19.7
2018,4,28.8,114.8
2018,5,29.9,87
2018,6,28.1,786.8
2018,7,27.7,768.4
2018,8,27.9,718.9
2018,9,28.1,634.3
2018,10,28.3,181.5
2018,11,27.9,6.5
2018,12,26.9,166.1
