YEAR,MONTH,TMEAN,RAINFALL
2014,1,23.5,0
2014,2,24.7,1.7
2014,3,26.6,0
2014,4,28.1,0
2014,5,29.5,23
2014,6,28.6,563.6
2014,7,27.9,520.6
2014,8,27.4,486
2014,9,27.5,661.6
2014,10,27.4,29
2014,11,27.3,0
2014,12,26.8,1.9
2015,1,24.9,0.3
2015,2,25.3,0.3
2015,3,26.7,0.2
2015,4,28.3,3.5
2015,5,29.3,17.4
2015,6,29.9,46.5
2015,7,27.2,1009.1
2015,8,28,587
2015,9,28.1,98.8
2015,10,27,248.2
2015,11,27.4,0
2015,12,26.4,20.6
2016,1,25.7,4.2
2016,2,25.3,12.2
2016,3,26.8,0.2
2016,4,28.7,0
2016,5,29.8,152.3
2016,6,28.8,192.2
2016,7,28.4,443.4
2016,8,27.2,960.5
2016,9,27.6,305.7
2016,10,27.7,254.5
2016,11,27.4,85.3
2016,12,26.8,18.8
2017,1,26.1,1.5
2017,2,26,0.5
2017,3,26.7,0
2017,4,27.9,30.8
2017,5,28.4,270.8
2017,6,28.8,99.6
2017,7,27.8,644.9
2017,8,27.8,322.1
2017,9,27.9,242.1
2017,10,27.4,121.3
2017,11,28,12.2
2017,12,26.7,4.8
2018,1,26.4,35.2
2018,2,25.3,0.2
2018,3,26.3,0
2018,4,27.9,0.4
2018,5,29.3,57.2
2018,6,27.7,725.2
2018,7,27.3,354
2018,8,26.7,1173.3
2018,9,27.2,225.3
2018,10,27.1,7.8
2018,11,27.3,0.3
2018,12,26.9,5.2
