YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.7,1285.9
2014,2,25.7,299.9
2014,3,26.8,678
2014,4,27.8,203.4
2014,5,29.1,54.2
2014,6,29.3,147
2014,7,28.2,149.7
2014,8,29,131.1
2014,9,27.9,171.2
2014,10,28,289.4
2014,11,27.3,398.2
2014,12,26.3,678.7
2015,1,25.7,834.3
2015,2,26.1,171.8
2015,3,26.8,99.7
2015,4,27.6,151.6
2015,5,28.5,48.3
2015,6,27.6,336.7
2015,7,28.9,34.2
2015,8,28.9,147
2015,9,28.1,308.6
2015,10,28.6,156.2
2015,11,27.5,531.7
2015,12,27.2,366.7
2016,1,27.2,166.9
2016,2,27,240.3
2016,3,27.9,36.6
2016,4,28.8,56.1
2016,5,29,73.5
2016,6,29.2,186.7
2016,7,28.5,232.1
2016,8,29.5,86.6
2016,9,28.9,238.8
2016,10,28.2,404.1
2016,11,27.2,597.2
2016,12,27.3,591.3
2017,1,26.5,944.3
2017,2,26.4,500
2017,3,27.2,774.4
2017,4,28.4,402.6
2017,5,29.1,217.8
2017,6,29,102.82
2017,7,28.3,157.01
2017,8,29,175.9
2017,9,29.1,176.14
2017,10,28.6,271.11
2017,11,28.4,487.2
2017,12,27.5,483.03
2018,1,26.8,798
2018,2,27.1,660.9
2018,3,27.7,335.3
2018,4,28.1,212.4
2018,5,28.9,97.3
2018,6,29,249.1
2018,7,29.5,89.9
2018,8,29.9,52.9
2018,9,29.1,239.4
2018,10,28.9,145.4
2018,11,27.4,593
2018,12,27.3,646.4
