YEAR,MONTH,TMEAN,RAINFALL
2014,1,-999,-999
2014,2,-999,-999
2014,3,-999,-999
2014,4,-999,-999
2014,5,-999,-999
2014,6,-999,-999
2014,7,-999,213.4
2014,8,-999,167.2
2014,9,-999,206.9
2014,10,-999,220
2014,11,-999,155.8
2014,12,-999,825.1
2015,1,26.4,419.8
2015,2,26.5,142.2
2015,3,27.1,66.7
2015,4,28.2,64.6
2015,5,29.1,5
2015,6,28.4,274.5
2015,7,-999,-999
2015,8,28.7,143.4
2015,9,28.6,254.4
2015,10,28.7,86.4
2015,11,27.9,304.6
2015,12,27.2,468.7
2016,1,27,248.6
2016,2,26.8,252.8
2016,3,27.9,44.4
2016,4,28.8,40.4
2016,5,29.1,281.2
2016,6,28.7,213.7
2016,7,28.4,239.1
2016,8,29.5,67.9
2016,9,28.6,232.2
2016,10,28.3,209.3
2016,11,27.1,348.6
2016,12,27.6,188.8
2017,1,26.7,582.2
2017,2,26.3,159.8
2017,3,27,417.6
2017,4,27.7,390.2
2017,5,28.6,149.2
2017,6,28.5,237.3
2017,7,27.8,340.3
2017,8,28.4,97.9
2017,9,28.1,374.7
2017,10,28,192.4
2017,11,28.1,126.6
2017,12,27.3,806.4
2018,1,26.6,836.3
2018,2,26.8,703.9
2018,3,27.5,201.2
2018,4,28,230.1
2018,5,28.4,216.4
2018,6,28.6,223.3
2018,7,28.6,267.2
2018,8,29,65.4
2018,9,28.8,82.5
2018,10,28.5,76.5
2018,11,27.4,362.1
2018,12,27.1,610.4
