YEAR,MONTH,TMEAN,RAINFALL
2014,1,20,11.9
2014,2,21.5,4.8
2014,3,22.2,39.8
2014,4,24.6,4.2
2014,5,26.5,46
2014,6,24.7,275.9
2014,7,23.3,517.6
2014,8,23.5,312.7
2014,9,23.4,631.7
2014,10,23.2,295.8
2014,11,23,117.6
2014,12,21.7,265.8
2015,1,20.2,72.7
2015,2,21.2,10
2015,3,22.3,36.8
2015,4,24.4,9
2015,5,26.2,24.4
2015,6,25.6,93.3
2015,7,23.4,472.6
2015,8,23.8,349.3
2015,9,24.5,370.2
2015,10,23.6,364.5
2015,11,23.3,61
2015,12,22.3,385.6
2016,1,22,13.9
2016,2,21.5,41.4
2016,3,23.3,16
2016,4,25.2,47
2016,5,25.5,213.6
2016,6,24.8,261.7
2016,7,24.1,267.6
2016,8,23.2,590.2
2016,9,23.6,270.1
2016,10,23.6,294
2016,11,22.4,277
2016,12,22.2,334.3
2017,1,20.9,213.6
2017,2,20.7,68
2017,3,22.2,17
2017,4,24.2,51.6
2017,5,25.4,75.4
2017,6,25.2,124.7
2017,7,23.4,318.9
2017,8,24,371.2
2017,9,24,357.3
2017,10,22.6,351.5
2017,11,22.1,342.4
2017,12,20.8,254.6
2018,1,20.5,124.4
2018,2,21.2,21.4
2018,3,21.6,31.1
2018,4,23.4,7
2018,5,25.1,45
2018,6,23,613.2
2018,7,22.1,881.1
2018,8,22,368.8
2018,9,23.6,518.1
2018,10,24.1,65.3
2018,11,23,64.5
2018,12,22.1,353.1
