YEAR,MONTH,TMEAN,RAINFALL
2014,1,22.1,6.4
2014,2,24.7,20.1
2014,3,26.8,15.7
2014,4,29.2,75.1
2014,5,31.2,54.4
2014,6,30.8,185.8
2014,7,29.5,158.4
2014,8,29.2,139.6
2014,9,28.7,302.9
2014,10,26.9,185.1
2014,11,26.2,93.8
2014,12,24.1,99.1
2015,1,23,65.3
2015,2,24.1,8.9
2015,3,26.5,32.9
2015,4,28.6,52
2015,5,29.9,178.8
2015,6,31.1,52.7
2015,7,28.5,206.9
2015,8,28.8,248.4
2015,9,29.1,48.1
2015,10,27.1,298.5
2015,11,26.6,31.6
2015,12,25,228.4
2016,1,25.2,21.2
2016,2,24.4,33.1
2016,3,27.2,3.8
2016,4,31,0
2016,5,31.2,96.4
2016,6,30,153.1
2016,7,29.6,402
2016,8,28.9,119.7
2016,9,28.6,105.3
2016,10,27.9,202.5
2016,11,26,412.9
2016,12,25.1,210.4
2017,1,24.2,78.3
2017,2,23.8,89.2
2017,3,26.4,29.66
2017,4,28.8,43.6
2017,5,29.6,236.7
2017,6,29.9,43.6
2017,7,29.2,91.4
2017,8,28.5,109.1
2017,9,29.1,133.6
2017,10,26.9,262.8
2017,11,26.3,347.2
2017,12,24.2,52
2018,1,24.6,7
2018,2,25.2,23.2
2018,3,26.4,1
2018,4,29.1,50.4
2018,5,31.5,8.2
2018,6,30.2,144.8
2018,7,28.9,250.1
2018,8,28.7,142
2018,9,28.6,317.9
2018,10,27.5,145.6
2018,11,26.7,11.7
2018,12,25.4,131.5
