YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.9,98.6
2014,2,25.4,28.6
2014,3,26.4,140.8
2014,4,26.9,107
2014,5,28.6,39.3
2014,6,29.2,260
2014,7,28,321.5
2014,8,28.3,105.1
2014,9,27.9,622.1
2014,10,27.4,335.3
2014,11,26.9,273.9
2014,12,26.4,615.6
2015,1,25.4,252.4
2015,2,25.1,228.4
2015,3,26,122.8
2015,4,27,156.4
2015,5,27.7,92.4
2015,6,28.5,104.7
2015,7,28.4,102.2
2015,8,28.8,168.1
2015,9,-999,326.2
2015,10,28.3,365.6
2015,11,27.5,234.3
2015,12,26.6,339.1
2016,1,25.9,124.7
2016,2,26,158.5
2016,3,26.4,88.4
2016,4,27.7,117.1
2016,5,28.5,198.1
2016,6,28.7,177.5
2016,7,28.2,287.4
2016,8,29.6,103.9
2016,9,28.9,217.1
2016,10,27.7,915.5
2016,11,27.2,441.9
2016,12,27,622.1
2017,1,26.1,378.3
2017,2,25.7,64.8
2017,3,26.5,247.2
2017,4,27,114.2
2017,5,28.4,77.6
2017,6,28.5,140.8
2017,7,27.9,324.2
2017,8,28.7,196.2
2017,9,28.3,322.8
2017,10,27.8,523.3
2017,11,27.6,329.2
2017,12,26.8,641.7
2018,1,26.2,713.2
2018,2,26.4,290.5
2018,3,26.7,204.7
2018,4,27.4,141.5
2018,5,28.5,100.9
2018,6,28.7,175.6
2018,7,29,42.5
2018,8,29.4,117.9
2018,9,28.3,289.8
2018,10,27.5,142.2
2018,11,27.3,206.4
2018,12,27,575
