YEAR,MONTH,TMEAN,RAINFALL
2014,1,27.2,38.5
2014,2,27.8,21.6
2014,3,28.7,122.4
2014,4,29,14.7
2014,5,29.5,60.9
2014,6,29.4,43.1
2014,7,29.1,109.4
2014,8,28.8,110.8
2014,9,28.3,166.4
2014,10,28.7,306.2
2014,11,29.2,13.4
2014,12,29.2,46.7
2015,1,28.6,17.6
2015,2,28.4,18.3
2015,3,28.6,1.8
2015,4,29.1,30.6
2015,5,29,30.3
2015,6,28.5,231.1
2015,7,-999,-999
2015,8,28.7,134.7
2015,9,28.4,324.6
2015,10,28.5,120.7
2015,11,28.8,66.4
2015,12,28.7,7.9
2016,1,28.6,0.6
2016,2,28.9,18.8
2016,3,29,5.3
2016,4,29.8,7.6
2016,5,29.8,107.5
2016,6,28.8,208.3
2016,7,28.7,182.2
2016,8,28.8,121.6
2016,9,28.4,188.5
2016,10,28.3,123.2
2016,11,28.3,140.9
2016,12,28.1,151.4
2017,1,28.1,151.9
2017,2,28.1,65
2017,3,28.1,174.7
2017,4,28.6,52.9
2017,5,28.8,107.7
2017,6,28.4,135.2
2017,7,28.3,64.4
2017,8,28.5,82.4
2017,9,28.5,184.5
2017,10,28.2,281
2017,11,28.9,79.2
2017,12,28.3,123.1
2018,1,28,124.4
2018,2,28.3,61
2018,3,28.7,22.1
2018,4,28.9,182.9
2018,5,28.9,81.5
2018,6,28.7,48.5
2018,7,28.8,115.2
2018,8,28.5,136.8
2018,9,28.1,177.5
2018,10,28.2,70.1
2018,11,28.8,23.6
2018,12,28.5,23.2
