geometry,buffered_geometry,longitude,latitude,ndvi,fapar,ndbi,ndwi,ndmi,aerosol,surface_temperature,precipitation_rate,relative_humidity,date_from,date_to
POINT (121.1115988815635 14.66216847415746),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.11159888156345,
                14.66216847415746
              ]
            }
          }
        }
      }
    }
  }
})",121.11159888156345,14.66216847415746,0.14304077171439852,0.0,-0.009912420337550418,-0.14373679187868846,0.009912420337550418,86.90792838874681,34.86353159851308,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.1241868653561 14.59517131411639),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.1241868653561,
                14.595171314116392
              ]
            }
          }
        }
      }
    }
  }
})",121.1241868653561,14.595171314116392,0.2155817039275618,0.047209677419354834,-0.07308537565762056,-0.14369073473839156,0.07308537565762056,96.0,33.88516443361749,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.0499885978804 14.62731133024777),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.0499885978804,
                14.627311330247775
              ]
            }
          }
        }
      }
    }
  }
})",121.0499885978804,14.627311330247775,0.094072894397037,0.0,0.0041892638786432896,-0.10682362466686228,-0.0041892638786432896,87.0831234256927,34.80458692971632,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.1238206746426 14.6073317854173),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.1238206746426,
                14.6073317854173
              ]
            }
          }
        }
      }
    }
  }
})",121.1238206746426,14.6073317854173,0.19672003429556928,0.049,-0.06522688732762509,-0.13644362107113134,0.06522688732762509,94.58958068614992,34.087521472392666,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.0569687053219 14.7608087588203),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.05696870532192,
                14.760808758820298
              ]
            }
          }
        }
      }
    }
  }
})",121.05696870532192,14.760808758820298,0.17426551858245815,0.0415,-0.028479303048592447,-0.15766209265671063,0.028479303048592447,124.52711223203026,34.662117503060074,0.0,81.32129669189453,2019-01-01,2019-01-31
POINT (121.1096347662567 14.77491440474035),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.10963476625666,
                14.774914404740345
              ]
            }
          }
        }
      }
    }
  }
})",121.10963476625666,14.774914404740345,0.2514260308887011,0.0757396593673966,-0.13681570998292783,-0.10077366236497323,0.13681570998292783,94.4469696969697,27.873990267639897,0.0,81.32129669189453,2019-01-01,2019-01-31
POINT (121.0559994622635 14.71515752168601),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.05599946226353,
                14.715157521686011
              ]
            }
          }
        }
      }
    }
  }
})",121.05599946226353,14.715157521686011,0.1626376802192525,0.0285,-0.03204978226525202,-0.13716185672888398,0.03204978226525202,87.0841836734694,32.22138480392158,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.0069648399491 14.75532089124561),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.00696483994913,
                14.755320891245614
              ]
            }
          }
        }
      }
    }
  }
})",121.00696483994913,14.755320891245614,0.17109580149364276,0.027795454545454547,-0.03300159385428796,-0.14271901159330833,0.03300159385428796,86.37084398976982,33.91518518518524,0.0,79.1504273003128,2019-01-01,2019-01-31
POINT (121.0061122308485 14.7309592850321),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.00611223084853,
                14.730959285032103
              ]
            }
          }
        }
      }
    }
  }
})",121.00611223084853,14.730959285032103,0.16442036534642815,0.029500000000000002,-0.0266894302769276,-0.1352828503534612,0.0266894302769276,91.68726355611601,31.97548229548238,0.0,73.28685760498047,2019-01-01,2019-01-31
POINT (121.049241445545 14.70826061348122),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.04924144554495,
                14.70826061348122
              ]
            }
          }
        }
      }
    }
  }
})",121.04924144554495,14.70826061348122,0.14985370434572878,0.0,-0.020096936167995218,-0.1395118703409426,0.020096936167995218,87.5877080665813,33.99872682323854,0.0,73.28685760498047,2019-01-01,2019-01-31
