Category: All categories

Month,dengue: (Metro Manila)
2013-01,13
2013-02,14
2013-03,9
2013-04,7
2013-05,8
2013-06,18
2013-07,29
2013-08,33
2013-09,29
2013-10,27
2013-11,17
2013-12,17
2014-01,15
2014-02,11
2014-03,10
2014-04,6
2014-05,6
2014-06,10
2014-07,14
2014-08,17
2014-09,16
2014-10,16
2014-11,18
2014-12,13
2015-01,13
2015-02,13
2015-03,10
2015-04,6
2015-05,6
2015-06,9
2015-07,19
2015-08,26
2015-09,36
2015-10,42
2015-11,29
2015-12,19
2016-01,18
2016-02,17
2016-03,12
2016-04,10
2016-05,6
2016-06,12
2016-07,19
2016-08,30
2016-09,26
2016-10,20
2016-11,18
2016-12,15
2017-01,14
2017-02,12
2017-03,11
2017-04,7
2017-05,6
2017-06,12
2017-07,17
2017-08,23
2017-09,18
2017-10,17
2017-11,17
2017-12,30
2018-01,20
2018-02,18
2018-03,12
2018-04,8
2018-05,6
2018-06,11
2018-07,22
2018-08,25
2018-09,23
2018-10,21
2018-11,20
2018-12,21
2019-01,25
2019-02,19
2019-03,12
2019-04,9
2019-05,8
2019-06,12
2019-07,41
2019-08,100
2019-09,95
2019-10,46
2019-11,27
2019-12,19
2020-01,20
2020-02,14
2020-03,11
2020-04,6
2020-05,5
2020-06,6
2020-07,8
2020-08,9
2020-09,9
2020-10,9
2020-11,10
2020-12,10
2021-01,13
2021-02,13
2021-03,11
2021-04,11
2021-05,7
2021-06,7
2021-07,12
2021-08,15
2021-09,14
2021-10,12
2021-11,15
2021-12,12
2022-01,13
2022-02,10
2022-03,10
2022-04,11
2022-05,11
2022-06,16
2022-07,33
2022-08,36
