geometry,buffered_geometry,longitude,latitude,ndvi,ndbi,ndwi,aerosol,label,index,place_id,licence,osm_type,osm_id,lat,lon,display_name,boundingbox,address.village,address.city,address.region,address.postcode,address.country,address.country_code,address.state,address.quarter,address.neighbourhood,address.town,address.amenity,address.road,address.building,address.aeroway,address.military,address.industrial
POINT (124.2327110290997 7.232249088605219),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.23271102909972,
                7.232249088605219
              ]
            }
          }
        }
      }
    }
  }
})",124.23271102909972,7.2322490886052195,0.29426543772184005,-0.18135909206120807,-0.10210229297665244,137.24185463659148,0,0,121140494,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,88671182,7.2328042354828215,124.23319665182414,"Bagua II, Cotabato City, Bangsamoro, 9605, Philippines","['7.2297834', '7.2347095', '124.2302522', '124.2371681']",Bagua II,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
POINT (124.188791024222 7.165193367587857),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.188791024222,
                7.1651933675878565
              ]
            }
          }
        }
      }
    }
  }
})",124.188791024222,7.1651933675878565,0.33712953424396913,-0.17811715393663746,-0.1372320948832157,210.68819875776398,0,0,142136719,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,173010874,7.1652733240277255,124.18881467553233,"Nabilan, Maguindanao, Bangsamoro, 9601, Philippines","['7.1639873', '7.170102', '124.1865228', '124.1943171']",Nabilan,,Bangsamoro,9601.0,Philippines,ph,Maguindanao,,,,,,,,,
POINT (124.2098563003946 7.196758407621468),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.20985630039459,
                7.196758407621468
              ]
            }
          }
        }
      }
    }
  }
})",124.20985630039459,7.196758407621468,0.2525439835434753,-0.16634924621562536,-0.07652659886419261,148.53673723536738,0,0,265253603,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,857182856,7.1968293,124.2091432,"Kalanganan Ⅱ, Bubong, Cotabato City, Bangsamoro, 9601, Philippines","['7.1968293', '7.1976755', '124.2090467', '124.2091432']",Bubong,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,Kalanganan Ⅱ,,,,,,,,
POINT (124.1967630362527 7.251398877038032),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.19676303625266,
                7.2513988770380315
              ]
            }
          }
        }
      }
    }
  }
})",124.19676303625265,7.251398877038031,0.049508159867661314,-0.08317019477819493,0.04097183914503763,190.84893882646682,1,0,248277417,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750288742,7.2512243162257715,124.19679731270872,"Kalanganan, Cotabato City, Bangsamoro, Philippines","['7.2446509', '7.2520646', '124.1934282', '124.2032585']",Kalanganan,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
POINT (124.2973661201818 7.218621620798705),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.29736612018178,
                7.218621620798705
              ]
            }
          }
        }
      }
    }
  }
})",124.29736612018179,7.218621620798705,0.24762520238554964,-0.1811293855035335,-0.04423150200908271,171.52970922882432,2,0,66513977,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6085685205,7.232895200000001,124.2637385,"Salimbao, Maguindanao, Bangsamoro, 9605, Philippines","['7.2128952', '7.2528952', '124.2437385', '124.2837385']",Salimbao,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,,,,,,,
POINT (124.3066153042669 7.178069029871818),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.30661530426687,
                7.178069029871818
              ]
            }
          }
        }
      }
    }
  }
})",124.30661530426687,7.178069029871818,0.362507864123868,-0.2336097860415473,-0.09924217118097534,168.46007604562737,2,0,95666448,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,9085587776,7.1412523,124.31105190000001,"Diocolano, Cotabato City, Bangsamoro, Philippines","['7.1212523', '7.1612523', '124.2910519', '124.3310519']",Diocolano,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
POINT (124.2674408199318 7.241693817190272),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.26744081993176,
                7.2416938171902725
              ]
            }
          }
        }
      }
    }
  }
})",124.26744081993178,7.241693817190272,0.3057146163256264,-0.1561891062137156,-0.13715047299697924,150.3163138231631,3,0,265678633,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,858379235,7.241378900000001,124.26665249999999,"Crossing Pinaring, Salimbao, Maguindanao, Bangsamoro, 9605, Philippines","['7.2413789', '7.241762', '124.2651109', '124.2666525']",Salimbao,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,Crossing Pinaring,,,,,,,
POINT (124.293772103275 7.253233563803932),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.29377210327503,
                7.253233563803932
              ]
            }
          }
        }
      }
    }
  }
})",124.29377210327505,7.253233563803932,0.3395442103023234,-0.18009947910026575,-0.14432108396044438,216.88495575221242,3,0,230879241,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,648178099,7.253815299999999,124.29229440000002,"Sultan Kudarat, Maguindanao, Bangsamoro, 9605, Philippines","['7.2377102', '7.2598046', '124.2850196', '124.2929086']",,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,Sultan Kudarat,,,,,,
POINT (124.2778049714143 7.173807474207336),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.2778049714143,
                7.173807474207336
              ]
            }
          }
        }
      }
    }
  }
})",124.2778049714143,7.173807474207336,0.3199756208166676,-0.2031917028784548,-0.09310940089945433,151.57788944723615,2,0,128639963,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,118667290,7.1706655,124.27529990000001,"Tamontaka Ⅳ, Tamontaka 3, Cotabato City, Bangsamoro, 9601, Philippines","['7.1629389', '7.1746653', '124.2615367', '124.2876793']",Tamontaka 3,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,Tamontaka Ⅳ,,,,,,,,
POINT (124.2629192425773 7.249400110845375),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.26291924257728,
                7.249400110845375
              ]
            }
          }
        }
      }
    }
  }
})",124.26291924257728,7.249400110845375,0.3182352310440857,-0.16604603124972356,-0.14031062007555856,150.8343711083437,3,0,281946671,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,988571209,7.2477076,124.2638231,"Purok 6, Macaguiling, Maguindanao, Bangsamoro, 9605, Philippines","['7.2471935', '7.2477076', '124.2638231', '124.2650284']",Macaguiling,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,Purok 6,,,,,,,
POINT (124.2345151636374 7.232972205737802),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.23451516363743,
                7.232972205737802
              ]
            }
          }
        }
      }
    }
  }
})",124.23451516363743,7.232972205737803,0.2915428734034532,-0.1756936589035967,-0.10556380480359223,135.78490566037735,0,0,265958429,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,861033994,7.2325489,124.23453300000001,"Cotabato City, Bangsamoro, 9605, Philippines","['7.2320566', '7.2325489', '124.2342541', '124.234533']",,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
POINT (124.2708125548338 7.218923076549622),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.27081255483382,
                7.218923076549622
              ]
            }
          }
        }
      }
    }
  }
})",124.27081255483381,7.218923076549622,0.27378380507550204,-0.18122427311194786,-0.07425093745763887,177.67790262172278,2,0,89195654,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,8744474534,7.2205546,124.27118270000001,"Bulibod Elementary School, Cotabato City East Diversion Road, Sultan Kudarat, Maguindanao, Bangsamoro, 9605, Philippines","['7.2205046', '7.2206046', '124.2711327', '124.2712327']",,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,Sultan Kudarat,Bulibod Elementary School,Cotabato City East Diversion Road,,,,
POINT (124.2463251828965 7.208216390398569),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.2463251828965,
                7.208216390398569
              ]
            }
          }
        }
      }
    }
  }
})",124.2463251828965,7.208216390398568,0.19353987035649006,-0.060247347797277286,-0.1406205906838661,192.5746549560853,4,0,232184646,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,653870290,7.2083542313044955,124.24618063311877,"Rosary Heights Ⅵ, Bagua II, Cotabato City, Bangsamoro, 9601, Philippines","['7.2081108', '7.2090933', '124.2459485', '124.2468854']",Bagua II,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,Rosary Heights Ⅵ,,,,,,,,
POINT (124.2981895707472 7.240901595313761),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.29818957074723,
                7.240901595313761
              ]
            }
          }
        }
      }
    }
  }
})",124.29818957074724,7.240901595313761,0.3463051053526482,-0.18581208414970574,-0.14303815543010287,188.9658659924147,3,0,120889142,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,88670502,7.236920606021707,124.2975771108589,"Pigcawayan, North Cotabato, Soccsksargen, 9605, Philippines","['7.2194027', '7.2714783', '124.2743405', '124.3998925']",,,Soccsksargen,9605.0,Philippines,ph,North Cotabato,,,Pigcawayan,,,,,,
POINT (124.1874716287325 7.223969852975444),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.18747162873247,
                7.223969852975444
              ]
            }
          }
        }
      }
    }
  }
})",124.1874716287325,7.2239698529754435,0.15870233419760768,-0.14484908476074707,-0.0003859737783756668,119.30566037735849,1,0,248320142,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750288741,7.224248640016191,124.1866303280554,"Cotabato City, Bangsamoro, Philippines","['7.2234094', '7.2426321', '124.1859565', '124.1930408']",,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
POINT (124.2013577454554 7.252956956894128),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.20135774545535,
                7.252956956894128
              ]
            }
          }
        }
      }
    }
  }
})",124.20135774545535,7.252956956894129,0.0926558185625746,-0.10621760274840404,0.019983150548304643,186.87032418952614,1,0,265321811,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,858400798,7.252553999999999,124.20128030000001,"Kalanganan, Cotabato City, Bangsamoro, Philippines","['7.2519615', '7.252554', '124.2012545', '124.2014057']",Kalanganan,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
