date,dengue,symptoms dengue,dengue fever,symptoms of dengue,dengue rashes,isPartial
2017-01-15,11,3,2,1,2,False
2017-01-22,9,1,3,1,0,False
2017-01-29,12,2,2,0,1,False
2017-02-05,8,1,1,0,0,False
2017-02-12,12,3,1,1,0,False
2017-02-19,9,2,3,1,1,False
2017-02-26,8,1,1,0,1,False
2017-03-05,13,5,1,2,1,False
2017-03-12,11,2,1,2,0,False
2017-03-19,10,3,1,2,0,False
2017-03-26,7,0,1,0,0,False
2017-04-02,6,1,0,0,0,False
2017-04-09,6,1,1,0,0,False
2017-04-16,7,1,1,0,0,False
2017-04-23,5,1,0,0,0,False
2017-04-30,7,3,1,2,0,False
2017-05-07,7,2,0,1,0,False
2017-05-14,8,3,1,0,0,False
2017-05-21,5,2,1,1,1,False
2017-05-28,6,3,0,2,0,False
2017-06-04,8,0,1,0,0,False
2017-06-11,8,4,2,2,0,False
2017-06-18,12,1,2,0,1,False
2017-06-25,10,3,1,1,0,False
2017-07-02,16,3,3,2,1,False
2017-07-09,14,5,3,2,0,False
2017-07-16,12,3,4,2,0,False
2017-07-23,17,4,2,3,0,False
2017-07-30,22,9,2,2,2,False
2017-08-06,14,3,2,2,2,False
2017-08-13,15,7,2,3,1,False
2017-08-20,18,6,4,5,2,False
2017-08-27,24,5,2,3,2,False
2017-09-03,17,3,4,1,1,False
2017-09-10,16,3,3,1,1,False
2017-09-17,15,2,2,1,2,False
2017-09-24,16,5,3,2,1,False
2017-10-01,14,5,2,1,1,False
2017-10-08,13,4,2,1,1,False
2017-10-15,15,4,2,2,1,False
2017-10-22,13,3,3,1,0,False
2017-10-29,12,6,3,3,1,False
2017-11-05,13,5,4,3,0,False
2017-11-12,12,5,2,2,1,False
2017-11-19,13,4,2,1,1,False
2017-11-26,24,2,3,1,1,False
2017-12-03,38,5,4,3,0,False
2017-12-10,29,3,2,2,1,False
2017-12-17,16,5,3,2,1,False
2017-12-24,18,6,2,2,1,False
2017-12-31,14,5,4,3,1,False
2018-01-07,19,4,3,3,1,False
2018-01-14,19,3,2,1,2,False
2018-01-21,17,3,1,1,2,False
2018-01-28,13,3,3,2,0,False
2018-02-04,15,4,3,2,0,False
2018-02-11,15,4,2,1,1,False
2018-02-18,12,2,2,1,2,False
2018-02-25,10,3,3,1,1,False
2018-03-04,10,2,1,1,1,False
2018-03-11,11,2,2,0,0,False
2018-03-18,12,2,2,1,1,False
2018-03-25,8,2,1,0,1,False
2018-04-01,10,4,2,1,1,False
2018-04-08,8,2,2,1,1,False
2018-04-15,8,1,1,0,0,False
2018-04-22,7,2,1,0,0,False
2018-04-29,6,2,2,0,0,False
2018-05-06,4,1,1,1,0,False
2018-05-13,7,2,1,1,0,False
2018-05-20,6,1,1,0,0,False
2018-05-27,8,2,1,0,1,False
2018-06-03,8,1,2,1,0,False
2018-06-10,8,3,1,1,1,False
2018-06-17,10,5,1,2,0,False
2018-06-24,12,3,2,1,0,False
2018-07-01,17,4,3,2,1,False
2018-07-08,20,7,5,2,1,False
2018-07-15,20,8,3,4,1,False
2018-07-22,18,5,4,2,2,False
2018-07-29,21,7,1,4,1,False
2018-08-05,19,8,3,3,3,False
2018-08-12,21,9,2,4,1,False
2018-08-19,20,7,4,3,2,False
2018-08-26,21,5,5,2,1,False
2018-09-02,18,5,2,4,2,False
2018-09-09,22,5,5,2,2,False
2018-09-16,16,5,2,2,2,False
2018-09-23,23,7,6,3,3,False
2018-09-30,23,4,5,3,1,False
2018-10-07,15,3,3,1,0,False
2018-10-14,14,5,2,2,1,False
2018-10-21,20,5,2,1,1,False
2018-10-28,16,4,2,1,1,False
2018-11-04,17,6,2,3,0,False
2018-11-11,19,4,2,3,1,False
2018-11-18,16,6,2,3,1,False
2018-11-25,16,6,3,3,1,False
2018-12-02,23,3,3,2,1,False
2018-12-09,20,3,3,2,0,False
2018-12-16,19,3,2,1,1,False
2018-12-23,20,5,4,1,2,False
2018-12-30,24,8,4,4,1,False
2019-01-06,29,10,2,2,1,False
2019-01-13,26,9,5,3,2,False
2019-01-20,22,6,4,3,2,False
2019-01-27,21,7,4,5,1,False
2019-02-03,23,9,4,3,1,False
2019-02-10,23,6,3,3,1,False
2019-02-17,14,5,3,3,1,False
2019-02-24,17,4,2,1,1,False
2019-03-03,15,4,3,2,1,False
2019-03-10,12,3,3,1,1,False
2019-03-17,7,3,1,2,1,False
2019-03-24,11,4,2,3,0,False
2019-03-31,7,3,1,2,1,False
2019-04-07,8,2,1,0,0,False
2019-04-14,6,2,2,1,0,False
